"arc_length"	"U_Magnitude"
32.9	0.0060299
33	0.0060299
33.1	0.00616193
33.2	0.00616193
33.3	0.00616193
33.4	0.00616193
33.5	0.00616193
33.6	0.00616193
33.7	0.00616193
33.8	0.00616193
33.9	0.00616193
34	0.00616193
34.1	0.00629093
34.2	0.00629093
34.3	0.00629093
34.4	0.00629093
34.5	0.00629093
34.6	0.00629093
34.7	0.00629093
34.8	0.00629093
34.9	0.00629093
35	0.00629093
35.1	0.00641688
35.2	0.00641688
35.3	0.00641688
35.4	0.00641688
35.5	0.00641688
35.6	0.00641688
35.7	0.00641688
35.8	0.00641688
35.9	0.00641688
36	0.00641688
36.1	0.00653979
36.2	0.00653979
36.3	0.00653979
36.4	0.00653979
36.5	0.00653979
36.6	0.00653979
36.7	0.00653979
36.8	0.00653979
36.9	0.00653979
37	0.00653979
37.1	0.00665967
37.2	0.00665967
37.3	0.00665967
37.4	0.00665967
37.5	0.00665967
37.6	0.00665967
37.7	0.00665967
37.8	0.00665967
37.9	0.00665967
38	0.00665967
38.1	0.00677651
38.2	0.00677651
38.3	0.00677651
38.4	0.00677651
38.5	0.00677651
38.6	0.00677651
38.7	0.00677651
38.8	0.00677651
38.9	0.00677651
39	0.00677651
39.1	0.00689032
39.2	0.00689032
39.3	0.00689032
39.4	0.00689032
39.5	0.00689032
39.6	0.00689032
39.7	0.00689032
39.8	0.00689032
39.9	0.00689032
40	0.00689032
40.1	0.00700111
40.2	0.00700111
40.3	0.00700111
40.4	0.00700111
40.5	0.00700111
40.6	0.00700111
40.7	0.00700111
40.8	0.00700111
40.9	0.00700111
41	0.00700111
41.1	0.0071089
41.2	0.0071089
41.3	0.0071089
41.4	0.0071089
41.5	0.0071089
41.6	0.0071089
41.7	0.0071089
41.8	0.0071089
41.9	0.0071089
42	0.0071089
42.1	0.00721375
42.2	0.00721375
42.3	0.00721375
42.4	0.00721375
42.5	0.00721375
42.6	0.00721375
42.7	0.00721375
42.8	0.00721375
42.9	0.00721375
43	0.00721375
43.1	0.00731576
43.2	0.00731576
43.3	0.00731576
43.4	0.00731576
43.5	0.00731576
43.6	0.00731576
43.7	0.00731576
43.8	0.00731576
43.9	0.00731576
44	0.00731576
44.1	0.00741517
44.2	0.00741517
44.3	0.00741517
44.4	0.00741517
44.5	0.00741517
44.6	0.00741517
44.7	0.00741517
44.8	0.00741517
44.9	0.00741517
45	0.00741517
45.1	0.00751254
45.2	0.00751254
45.3	0.00751254
45.4	0.00751254
45.5	0.00751254
45.6	0.00751254
45.7	0.00751254
45.8	0.00751254
45.9	0.00751254
46	0.00751254
46.1	0.00760904
46.2	0.00760904
46.3	0.00760904
46.4	0.00760904
46.5	0.00760904
46.6	0.00760904
46.7	0.00760904
46.8	0.00760904
46.9	0.00760904
47	0.00760904
47.1	0.00770732
47.2	0.00770732
47.3	0.00770732
47.4	0.00770732
47.5	0.00770732
47.6	0.00770732
47.7	0.00770732
47.8	0.00770732
47.9	0.00770732
48	0.00770732
48.1	0.0078129
48.2	0.0078129
48.3	0.0078129
48.4	0.0078129
48.5	0.0078129
48.6	0.0078129
48.7	0.0078129
48.8	0.0078129
48.9	0.0078129
49	0.0078129
49.1	0.00793692
49.2	0.00793692
49.3	0.00793692
49.4	0.00793692
49.5	0.00793692
49.6	0.00793692
49.7	0.00793692
49.8	0.00793692
49.9	0.00793692
50	0.00793692
50.1	0.00810188
50.2	0.00810188
50.3	0.00810188
50.4	0.00810188
50.5	0.00810188
50.6	0.00810188
50.7	0.00810188
50.8	0.00810188
50.9	0.00810188
51	0.00810188
51.1	0.00835494
51.2	0.00835494
51.3	0.00835494
51.4	0.00835494
51.5	0.00835494
51.6	0.00835494
51.7	0.00835494
51.8	0.00835494
51.9	0.00835494
52	0.00835494
52.1	0.0087935
52.2	0.0087935
52.3	0.0087935
52.4	0.0087935
52.5	0.0087935
52.6	0.0087935
52.7	0.0087935
52.8	0.0087935
52.9	0.0087935
53	0.0087935
53.1	0.00960409
53.2	0.00960409
53.3	0.00960409
53.4	0.00960409
53.5	0.00960409
53.6	0.00960409
53.7	0.00960409
53.8	0.00960409
53.9	0.00960409
54	0.00960409
54.1	0.0110847
54.2	0.0110847
54.3	0.0110847
54.4	0.0110847
54.5	0.0110847
54.6	0.0110847
54.7	0.0110847
54.8	0.0110847
54.9	0.0110847
55	0.0110847
55.1	0.0135599
55.2	0.0135599
55.3	0.0135599
55.4	0.0135599
55.5	0.0135599
55.6	0.0135599
55.7	0.0135599
55.8	0.0135599
55.9	0.0135599
56	0.0135599
56.1	0.0171499
56.2	0.0171499
56.3	0.0171499
56.4	0.0171499
56.5	0.0171499
56.6	0.0171499
56.7	0.0171499
56.8	0.0171499
56.9	0.0171499
57	0.0171499
57.1	0.0216242
57.2	0.0216242
57.3	0.0216242
57.4	0.0216242
57.5	0.0216242
57.6	0.0216242
57.7	0.0216242
57.8	0.0216242
57.9	0.0216242
58	0.0216242
58.1	0.0265592
58.2	0.0265592
58.3	0.0265592
58.4	0.0265592
58.5	0.0265592
58.6	0.0265592
58.7	0.0265592
58.8	0.0265592
58.9	0.0265592
59	0.0265592
59.1	0.0315906
59.2	0.0315906
59.3	0.0315906
59.4	0.0315906
59.5	0.0315906
59.6	0.0315906
59.7	0.0315906
59.8	0.0315906
59.9	0.0315906
60	0.0315906
60.1	0.0365026
60.2	0.0365026
60.3	0.0365026
60.4	0.0365026
60.5	0.0365026
60.6	0.0365026
60.7	0.0365026
60.8	0.0365026
60.9	0.0365026
61	0.0365026
61.1	0.0411902
61.2	0.0411902
61.3	0.0411902
61.4	0.0411902
61.5	0.0411902
61.6	0.0411902
61.7	0.0411902
61.8	0.0411902
61.9	0.0411902
62	0.0411902
62.1	0.0456072
62.2	0.0456072
62.3	0.0456072
62.4	0.0456072
62.5	0.0456072
62.6	0.0456072
62.7	0.0456072
62.8	0.0456072
62.9	0.0456072
63	0.0456072
63.1	0.0497344
63.2	0.0497344
63.3	0.0497344
63.4	0.0497344
63.5	0.0497344
63.6	0.0497344
63.7	0.0497344
63.8	0.0497344
63.9	0.0497344
64	0.0497344
64.1	0.0535639
64.2	0.0535639
64.3	0.0535639
64.4	0.0535639
64.5	0.0535639
64.6	0.0535639
64.7	0.0535639
64.8	0.0535639
64.9	0.0535639
65	0.0535639
65.1	0.0570923
65.2	0.0570923
65.3	0.0570923
65.4	0.0570923
65.5	0.0570923
65.6	0.0570923
65.7	0.0570923
65.8	0.0570923
65.9	0.0570923
66	0.0570923
66.1	0.0603186
66.2	0.0603186
66.3	0.0603186
66.4	0.0603186
66.5	0.0603186
66.6	0.0603186
66.7	0.0603186
66.8	0.0603186
66.9	0.0603186
67	0.0603186
67.1	0.0632421
67.2	0.0632421
67.3	0.0632421
67.4	0.0632421
67.5	0.0632421
67.6	0.0632421
67.7	0.0632421
67.8	0.0632421
67.9	0.0632421
68	0.0632421
68.1	0.0658627
68.2	0.0658627
68.3	0.0658627
68.4	0.0658627
68.5	0.0658627
68.6	0.0658627
68.7	0.0658627
68.8	0.0658627
68.9	0.0658627
69	0.0658627
69.1	0.0681804
69.2	0.0681804
69.3	0.0681804
69.4	0.0681804
69.5	0.0681804
69.6	0.0681804
69.7	0.0681804
69.8	0.0681804
69.9	0.0681804
70	0.0681804
70.1	0.0701951
70.2	0.0701951
70.3	0.0701951
70.4	0.0701951
70.5	0.0701951
70.6	0.0701951
70.7	0.0701951
70.8	0.0701951
70.9	0.0701951
71	0.0701951
71.1	0.071907
71.2	0.071907
71.3	0.071907
71.4	0.071907
71.5	0.071907
71.6	0.071907
71.7	0.071907
71.8	0.071907
71.9	0.071907
72	0.071907
72.1	0.0733159
72.2	0.0733159
72.3	0.0733159
72.4	0.0733159
72.5	0.0733159
72.6	0.0733159
72.7	0.0733159
72.8	0.0733159
72.9	0.0733159
73	0.0733159
73.1	0.0744219
73.2	0.0744219
73.3	0.0744219
73.4	0.0744219
73.5	0.0744219
73.6	0.0744219
73.7	0.0744219
73.8	0.0744219
73.9	0.0744219
74	0.0744219
74.1	0.075225
74.2	0.075225
74.3	0.075225
74.4	0.075225
74.5	0.075225
74.6	0.075225
74.7	0.075225
74.8	0.075225
74.9	0.075225
75	0.075225
75.1	0.0757253
75.2	0.0757253
75.3	0.0757253
75.4	0.0757253
75.5	0.0757253
75.6	0.0757253
75.7	0.0757253
75.8	0.0757253
75.9	0.0757253
76	0.0757253
76.1	0.0759226
76.2	0.0759226
76.3	0.0759226
76.4	0.0759226
76.5	0.0759226
76.6	0.0759226
76.7	0.0759226
76.8	0.0759226
76.9	0.0759226
77	0.0759226
77.1	0.0758171
77.2	0.0758171
77.3	0.0758171
77.4	0.0758171
77.5	0.0758171
77.6	0.0758171
77.7	0.0758171
77.8	0.0758171
77.9	0.0758171
78	0.0758171
78.1	0.0754088
78.2	0.0754088
78.3	0.0754088
78.4	0.0754088
78.5	0.0754088
78.6	0.0754088
78.7	0.0754088
78.8	0.0754088
78.9	0.0754088
79	0.0754088
79.1	0.0746975
79.2	0.0746975
79.3	0.0746975
79.4	0.0746975
79.5	0.0746975
79.6	0.0746975
79.7	0.0746975
79.8	0.0746975
79.9	0.0746975
80	0.0746975
80.1	0.0736834
80.2	0.0736834
