"arc_length"	"U_Magnitude"
32.9	0.0060201
33	0.0060201
33.1	0.00615237
33.2	0.00615237
33.3	0.00615237
33.4	0.00615237
33.5	0.00615237
33.6	0.00615237
33.7	0.00615237
33.8	0.00615237
33.9	0.00615237
34	0.00615237
34.1	0.00628161
34.2	0.00628161
34.3	0.00628161
34.4	0.00628161
34.5	0.00628161
34.6	0.00628161
34.7	0.00628161
34.8	0.00628161
34.9	0.00628161
35	0.00628161
35.1	0.00640781
35.2	0.00640781
35.3	0.00640781
35.4	0.00640781
35.5	0.00640781
35.6	0.00640781
35.7	0.00640781
35.8	0.00640781
35.9	0.00640781
36	0.00640781
36.1	0.00653099
36.2	0.00653099
36.3	0.00653099
36.4	0.00653099
36.5	0.00653099
36.6	0.00653099
36.7	0.00653099
36.8	0.00653099
36.9	0.00653099
37	0.00653099
37.1	0.00665114
37.2	0.00665114
37.3	0.00665114
37.4	0.00665114
37.5	0.00665114
37.6	0.00665114
37.7	0.00665114
37.8	0.00665114
37.9	0.00665114
38	0.00665114
38.1	0.00676826
38.2	0.00676826
38.3	0.00676826
38.4	0.00676826
38.5	0.00676826
38.6	0.00676826
38.7	0.00676826
38.8	0.00676826
38.9	0.00676826
39	0.00676826
39.1	0.00688236
39.2	0.00688236
39.3	0.00688236
39.4	0.00688236
39.5	0.00688236
39.6	0.00688236
39.7	0.00688236
39.8	0.00688236
39.9	0.00688236
40	0.00688236
40.1	0.00699344
40.2	0.00699344
40.3	0.00699344
40.4	0.00699344
40.5	0.00699344
40.6	0.00699344
40.7	0.00699344
40.8	0.00699344
40.9	0.00699344
41	0.00699344
41.1	0.00710154
41.2	0.00710154
41.3	0.00710154
41.4	0.00710154
41.5	0.00710154
41.6	0.00710154
41.7	0.00710154
41.8	0.00710154
41.9	0.00710154
42	0.00710154
42.1	0.00720668
42.2	0.00720668
42.3	0.00720668
42.4	0.00720668
42.5	0.00720668
42.6	0.00720668
42.7	0.00720668
42.8	0.00720668
42.9	0.00720668
43	0.00720668
43.1	0.007309
43.2	0.007309
43.3	0.007309
43.4	0.007309
43.5	0.007309
43.6	0.007309
43.7	0.007309
43.8	0.007309
43.9	0.007309
44	0.007309
44.1	0.00740872
44.2	0.00740872
44.3	0.00740872
44.4	0.00740872
44.5	0.00740872
44.6	0.00740872
44.7	0.00740872
44.8	0.00740872
44.9	0.00740872
45	0.00740872
45.1	0.00750639
45.2	0.00750639
45.3	0.00750639
45.4	0.00750639
45.5	0.00750639
45.6	0.00750639
45.7	0.00750639
45.8	0.00750639
45.9	0.00750639
46	0.00750639
46.1	0.00760321
46.2	0.00760321
46.3	0.00760321
46.4	0.00760321
46.5	0.00760321
46.6	0.00760321
46.7	0.00760321
46.8	0.00760321
46.9	0.00760321
47	0.00760321
47.1	0.00770179
47.2	0.00770179
47.3	0.00770179
47.4	0.00770179
47.5	0.00770179
47.6	0.00770179
47.7	0.00770179
47.8	0.00770179
47.9	0.00770179
48	0.00770179
48.1	0.00780756
48.2	0.00780756
48.3	0.00780756
48.4	0.00780756
48.5	0.00780756
48.6	0.00780756
48.7	0.00780756
48.8	0.00780756
48.9	0.00780756
49	0.00780756
49.1	0.00793167
49.2	0.00793167
49.3	0.00793167
49.4	0.00793167
49.5	0.00793167
49.6	0.00793167
49.7	0.00793167
49.8	0.00793167
49.9	0.00793167
50	0.00793167
50.1	0.00809685
50.2	0.00809685
50.3	0.00809685
50.4	0.00809685
50.5	0.00809685
50.6	0.00809685
50.7	0.00809685
50.8	0.00809685
50.9	0.00809685
51	0.00809685
51.1	0.00835024
51.2	0.00835024
51.3	0.00835024
51.4	0.00835024
51.5	0.00835024
51.6	0.00835024
51.7	0.00835024
51.8	0.00835024
51.9	0.00835024
52	0.00835024
52.1	0.00878894
52.2	0.00878894
52.3	0.00878894
52.4	0.00878894
52.5	0.00878894
52.6	0.00878894
52.7	0.00878894
52.8	0.00878894
52.9	0.00878894
53	0.00878894
53.1	0.00959932
53.2	0.00959932
53.3	0.00959932
53.4	0.00959932
53.5	0.00959932
53.6	0.00959932
53.7	0.00959932
53.8	0.00959932
53.9	0.00959932
54	0.00959932
