"arc_length"	"U_X"
28	5.7843e-05
28.1	6.01114e-05
28.2	6.01114e-05
28.3	6.01114e-05
28.4	6.01114e-05
28.5	6.01114e-05
28.6	6.01114e-05
28.7	6.01114e-05
28.8	6.01114e-05
28.9	6.01114e-05
29	6.01114e-05
29.1	6.23797e-05
29.2	6.23797e-05
29.3	6.23797e-05
29.4	6.23797e-05
29.5	6.23797e-05
29.6	6.23797e-05
29.7	6.23797e-05
29.8	6.23797e-05
29.9	6.23797e-05
30	6.23797e-05
30.1	6.46481e-05
30.2	6.46481e-05
30.3	6.46481e-05
30.4	6.46481e-05
30.5	6.46481e-05
30.6	6.46481e-05
30.7	6.46481e-05
30.8	6.46481e-05
30.9	6.46481e-05
31	6.46481e-05
31.1	6.69165e-05
31.2	6.69165e-05
31.3	6.69165e-05
31.4	6.69165e-05
31.5	6.69165e-05
31.6	6.69165e-05
31.7	6.69165e-05
31.8	6.69165e-05
31.9	6.69165e-05
32	6.69165e-05
32.1	6.91848e-05
32.2	6.91848e-05
32.3	6.91848e-05
32.4	6.91848e-05
32.5	6.91848e-05
32.6	6.91848e-05
32.7	6.91848e-05
32.8	6.91848e-05
32.9	6.91848e-05
33	6.91848e-05
33.1	7.14532e-05
33.2	7.14532e-05
33.3	7.14532e-05
33.4	7.14532e-05
33.5	7.14532e-05
33.6	7.14532e-05
33.7	7.14532e-05
33.8	7.14532e-05
33.9	7.14532e-05
34	7.14532e-05
34.1	7.37216e-05
34.2	7.37216e-05
34.3	7.37216e-05
34.4	7.37216e-05
34.5	7.37216e-05
34.6	7.37216e-05
34.7	7.37216e-05
34.8	7.37216e-05
34.9	7.37216e-05
35	7.37216e-05
35.1	7.59899e-05
35.2	7.59899e-05
35.3	7.59899e-05
35.4	7.59899e-05
35.5	7.59899e-05
35.6	7.59899e-05
35.7	7.59899e-05
35.8	7.59899e-05
35.9	7.59899e-05
36	7.59899e-05
36.1	7.82582e-05
36.2	7.82582e-05
36.3	7.82582e-05
36.4	7.82582e-05
36.5	7.82582e-05
36.6	7.82582e-05
36.7	7.82582e-05
36.8	7.82582e-05
36.9	7.82582e-05
37	7.82582e-05
37.1	8.05265e-05
37.2	8.05265e-05
37.3	8.05265e-05
37.4	8.05265e-05
37.5	8.05265e-05
37.6	8.05265e-05
37.7	8.05265e-05
37.8	8.05265e-05
37.9	8.05265e-05
38	8.05265e-05
38.1	8.27943e-05
38.2	8.27943e-05
38.3	8.27943e-05
38.4	8.27943e-05
38.5	8.27943e-05
38.6	8.27943e-05
38.7	8.27943e-05
38.8	8.27943e-05
38.9	8.27943e-05
39	8.27943e-05
39.1	8.50607e-05
39.2	8.50607e-05
39.3	8.50607e-05
39.4	8.50607e-05
39.5	8.50607e-05
39.6	8.50607e-05
39.7	8.50607e-05
39.8	8.50607e-05
39.9	8.50607e-05
40	8.50607e-05
40.1	8.73233e-05
40.2	8.73233e-05
40.3	8.73233e-05
40.4	8.73233e-05
40.5	8.73233e-05
40.6	8.73233e-05
40.7	8.73233e-05
40.8	8.73233e-05
40.9	8.73233e-05
41	8.73233e-05
41.1	8.95741e-05
41.2	8.95741e-05
41.3	8.95741e-05
41.4	8.95741e-05
41.5	8.95741e-05
41.6	8.95741e-05
41.7	8.95741e-05
41.8	8.95741e-05
41.9	8.95741e-05
42	8.95741e-05
42.1	9.17907e-05
42.2	9.17907e-05
42.3	9.17907e-05
42.4	9.17907e-05
42.5	9.17907e-05
42.6	9.17907e-05
42.7	9.17907e-05
42.8	9.17907e-05
42.9	9.17907e-05
43	9.17907e-05
43.1	9.39119e-05
43.2	9.39119e-05
43.3	9.39119e-05
43.4	9.39119e-05
43.5	9.39119e-05
43.6	9.39119e-05
43.7	9.39119e-05
43.8	9.39119e-05
43.9	9.39119e-05
44	9.39119e-05
44.1	9.57993e-05
44.2	9.57993e-05
44.3	9.57993e-05
44.4	9.57993e-05
44.5	9.57993e-05
44.6	9.57993e-05
44.7	9.57993e-05
44.8	9.57993e-05
44.9	9.57993e-05
45	9.57993e-05
45.1	9.72458e-05
45.2	9.72458e-05
45.3	9.72458e-05
45.4	9.72458e-05
45.5	9.72458e-05
45.6	9.72458e-05
45.7	9.72458e-05
45.8	9.72458e-05
45.9	9.72458e-05
46	9.72458e-05
46.1	9.81345e-05
46.2	9.81345e-05
46.3	9.81345e-05
46.4	9.81345e-05
46.5	9.81345e-05
46.6	9.81345e-05
46.7	9.81345e-05
46.8	9.81345e-05
46.9	9.81345e-05
47	9.81345e-05
47.1	9.8571e-05
47.2	9.8571e-05
47.3	9.8571e-05
47.4	9.8571e-05
47.5	9.8571e-05
47.6	9.8571e-05
47.7	9.8571e-05
47.8	9.8571e-05
47.9	9.8571e-05
48	9.8571e-05
48.1	9.87616e-05
48.2	9.87616e-05
48.3	9.87616e-05
48.4	9.87616e-05
48.5	9.87616e-05
48.6	9.87616e-05
48.7	9.87616e-05
48.8	9.87616e-05
48.9	9.87616e-05
49	9.87616e-05
49.1	9.88488e-05
49.2	9.88488e-05
49.3	9.88488e-05
49.4	9.88488e-05
49.5	9.88488e-05
49.6	9.88488e-05
49.7	9.88488e-05
49.8	9.88488e-05
49.9	9.88488e-05
50	9.88488e-05
50.1	9.88962e-05
50.2	9.88962e-05
50.3	9.88962e-05
50.4	9.88962e-05
50.5	9.88962e-05
50.6	9.88962e-05
50.7	9.88962e-05
50.8	9.88962e-05
50.9	9.88962e-05
51	9.88962e-05
51.1	9.89284e-05
51.2	9.89284e-05
51.3	9.89284e-05
51.4	9.89284e-05
51.5	9.89284e-05
51.6	9.89284e-05
51.7	9.89284e-05
51.8	9.89284e-05
51.9	9.89284e-05
52	9.89284e-05
52.1	9.89546e-05
52.2	9.89546e-05
52.3	9.89546e-05
52.4	9.89546e-05
52.5	9.89546e-05
52.6	9.89546e-05
52.7	9.89546e-05
52.8	9.89546e-05
52.9	9.89546e-05
53	9.89546e-05
53.1	9.89785e-05
53.2	9.89785e-05
53.3	9.89785e-05
53.4	9.89785e-05
53.5	9.89785e-05
53.6	9.89785e-05
53.7	9.89785e-05
53.8	9.89785e-05
53.9	9.89785e-05
54	9.89785e-05
54.1	9.90017e-05
54.2	9.90017e-05
54.3	9.90017e-05
54.4	9.90017e-05
54.5	9.90017e-05
54.6	9.90017e-05
54.7	9.90017e-05
54.8	9.90017e-05
54.9	9.90017e-05
55	9.90017e-05
55.1	9.90245e-05
55.2	9.90245e-05
55.3	9.90245e-05
55.4	9.90245e-05
55.5	9.90245e-05
55.6	9.90245e-05
55.7	9.90245e-05
55.8	9.90245e-05
55.9	9.90245e-05
56	9.90245e-05
56.1	9.90472e-05
56.2	9.90472e-05
56.3	9.90472e-05
56.4	9.90472e-05
56.5	9.90472e-05
56.6	9.90472e-05
56.7	9.90472e-05
56.8	9.90472e-05
56.9	9.90472e-05
57	9.90472e-05
57.1	9.90699e-05
57.2	9.90699e-05
57.3	9.90699e-05
57.4	9.90699e-05
57.5	9.90699e-05
57.6	9.90699e-05
57.7	9.90699e-05
57.8	9.90699e-05
57.9	9.90699e-05
58	9.90699e-05
58.1	9.90926e-05
58.2	9.90926e-05
58.3	9.90926e-05
58.4	9.90926e-05
58.5	9.90926e-05
58.6	9.90926e-05
58.7	9.90926e-05
58.8	9.90926e-05
58.9	9.90926e-05
59	9.90926e-05
59.1	9.91153e-05
59.2	9.91153e-05
59.3	9.91153e-05
59.4	9.91153e-05
59.5	9.91153e-05
59.6	9.91153e-05
59.7	9.91153e-05
59.8	9.91153e-05
59.9	9.91153e-05
60	9.91153e-05
60.1	9.9138e-05
60.2	9.9138e-05
60.3	9.9138e-05
60.4	9.9138e-05
