"arc_length"	"U_X"
28.2	5.27274e-05
28.3	5.27274e-05
28.4	5.27274e-05
28.5	5.27274e-05
28.6	5.27274e-05
28.7	5.27274e-05
28.8	5.27274e-05
28.9	5.27274e-05
29	5.27274e-05
29.1	5.47171e-05
29.2	5.47171e-05
29.3	5.47171e-05
29.4	5.47171e-05
29.5	5.47171e-05
29.6	5.47171e-05
29.7	5.47171e-05
29.8	5.47171e-05
29.9	5.47171e-05
30	5.47171e-05
30.1	5.67068e-05
30.2	5.67068e-05
30.3	5.67068e-05
30.4	5.67068e-05
30.5	5.67068e-05
30.6	5.67068e-05
30.7	5.67068e-05
30.8	5.67068e-05
30.9	5.67068e-05
31	5.67068e-05
31.1	5.86965e-05
31.2	5.86965e-05
31.3	5.86965e-05
31.4	5.86965e-05
31.5	5.86965e-05
31.6	5.86965e-05
31.7	5.86965e-05
31.8	5.86965e-05
31.9	5.86965e-05
32	5.86965e-05
32.1	6.06862e-05
32.2	6.06862e-05
32.3	6.06862e-05
32.4	6.06862e-05
32.5	6.06862e-05
32.6	6.06862e-05
32.7	6.06862e-05
32.8	6.06862e-05
32.9	6.06862e-05
33	6.06862e-05
33.1	6.2676e-05
33.2	6.2676e-05
33.3	6.2676e-05
33.4	6.2676e-05
33.5	6.2676e-05
33.6	6.2676e-05
33.7	6.2676e-05
33.8	6.2676e-05
33.9	6.2676e-05
34	6.2676e-05
34.1	6.46657e-05
34.2	6.46657e-05
34.3	6.46657e-05
34.4	6.46657e-05
34.5	6.46657e-05
34.6	6.46657e-05
34.7	6.46657e-05
34.8	6.46657e-05
34.9	6.46657e-05
35	6.46657e-05
35.1	6.66554e-05
35.2	6.66554e-05
35.3	6.66554e-05
35.4	6.66554e-05
35.5	6.66554e-05
35.6	6.66554e-05
35.7	6.66554e-05
35.8	6.66554e-05
35.9	6.66554e-05
36	6.66554e-05
36.1	6.86451e-05
36.2	6.86451e-05
36.3	6.86451e-05
36.4	6.86451e-05
36.5	6.86451e-05
36.6	6.86451e-05
36.7	6.86451e-05
36.8	6.86451e-05
36.9	6.86451e-05
37	6.86451e-05
37.1	7.06348e-05
37.2	7.06348e-05
37.3	7.06348e-05
37.4	7.06348e-05
37.5	7.06348e-05
37.6	7.06348e-05
37.7	7.06348e-05
37.8	7.06348e-05
37.9	7.06348e-05
38	7.06348e-05
38.1	7.26245e-05
38.2	7.26245e-05
38.3	7.26245e-05
38.4	7.26245e-05
38.5	7.26245e-05
38.6	7.26245e-05
38.7	7.26245e-05
38.8	7.26245e-05
38.9	7.26245e-05
39	7.26245e-05
39.1	7.4614e-05
39.2	7.4614e-05
39.3	7.4614e-05
39.4	7.4614e-05
39.5	7.4614e-05
39.6	7.4614e-05
39.7	7.4614e-05
39.8	7.4614e-05
39.9	7.4614e-05
40	7.4614e-05
40.1	7.66032e-05
40.2	7.66032e-05
40.3	7.66032e-05
40.4	7.66032e-05
40.5	7.66032e-05
40.6	7.66032e-05
40.7	7.66032e-05
40.8	7.66032e-05
40.9	7.66032e-05
41	7.66032e-05
41.1	7.85913e-05
41.2	7.85913e-05
41.3	7.85913e-05
41.4	7.85913e-05
41.5	7.85913e-05
41.6	7.85913e-05
41.7	7.85913e-05
41.8	7.85913e-05
41.9	7.85913e-05
42	7.85913e-05
42.1	8.05763e-05
42.2	8.05763e-05
42.3	8.05763e-05
42.4	8.05763e-05
42.5	8.05763e-05
42.6	8.05763e-05
42.7	8.05763e-05
42.8	8.05763e-05
42.9	8.05763e-05
43	8.05763e-05
43.1	8.2552e-05
43.2	8.2552e-05
43.3	8.2552e-05
43.4	8.2552e-05
43.5	8.2552e-05
43.6	8.2552e-05
43.7	8.2552e-05
43.8	8.2552e-05
43.9	8.2552e-05
44	8.2552e-05
44.1	8.45003e-05
44.2	8.45003e-05
44.3	8.45003e-05
44.4	8.45003e-05
44.5	8.45003e-05
44.6	8.45003e-05
44.7	8.45003e-05
44.8	8.45003e-05
44.9	8.45003e-05
45	8.45003e-05
45.1	8.63725e-05
45.2	8.63725e-05
45.3	8.63725e-05
45.4	8.63725e-05
45.5	8.63725e-05
45.6	8.63725e-05
45.7	8.63725e-05
45.8	8.63725e-05
45.9	8.63725e-05
46	8.63725e-05
46.1	8.80573e-05
46.2	8.80573e-05
46.3	8.80573e-05
46.4	8.80573e-05
46.5	8.80573e-05
46.6	8.80573e-05
46.7	8.80573e-05
46.8	8.80573e-05
46.9	8.80573e-05
47	8.80573e-05
47.1	8.93835e-05
47.2	8.93835e-05
47.3	8.93835e-05
47.4	8.93835e-05
47.5	8.93835e-05
47.6	8.93835e-05
47.7	8.93835e-05
47.8	8.93835e-05
47.9	8.93835e-05
48	8.93835e-05
48.1	9.02583e-05
48.2	9.02583e-05
48.3	9.02583e-05
48.4	9.02583e-05
48.5	9.02583e-05
48.6	9.02583e-05
48.7	9.02583e-05
48.8	9.02583e-05
48.9	9.02583e-05
49	9.02583e-05
49.1	9.07851e-05
49.2	9.07851e-05
49.3	9.07851e-05
49.4	9.07851e-05
49.5	9.07851e-05
49.6	9.07851e-05
49.7	9.07851e-05
49.8	9.07851e-05
49.9	9.07851e-05
50	9.07851e-05
50.1	9.11224e-05
50.2	9.11224e-05
50.3	9.11224e-05
50.4	9.11224e-05
50.5	9.11224e-05
50.6	9.11224e-05
50.7	9.11224e-05
50.8	9.11224e-05
50.9	9.11224e-05
51	9.11224e-05
51.1	9.13708e-05
51.2	9.13708e-05
51.3	9.13708e-05
51.4	9.13708e-05
51.5	9.13708e-05
51.6	9.13708e-05
51.7	9.13708e-05
51.8	9.13708e-05
51.9	9.13708e-05
52	9.13708e-05
52.1	9.15796e-05
52.2	9.15796e-05
52.3	9.15796e-05
52.4	9.15796e-05
52.5	9.15796e-05
52.6	9.15796e-05
52.7	9.15796e-05
52.8	9.15796e-05
52.9	9.15796e-05
53	9.15796e-05
53.1	9.17721e-05
53.2	9.17721e-05
53.3	9.17721e-05
53.4	9.17721e-05
53.5	9.17721e-05
53.6	9.17721e-05
53.7	9.17721e-05
53.8	9.17721e-05
53.9	9.17721e-05
54	9.17721e-05
54.1	9.19582e-05
54.2	9.19582e-05
54.3	9.19582e-05
54.4	9.19582e-05
54.5	9.19582e-05
54.6	9.19582e-05
54.7	9.19582e-05
54.8	9.19582e-05
54.9	9.19582e-05
55	9.19582e-05
55.1	9.21421e-05
55.2	9.21421e-05
55.3	9.21421e-05
55.4	9.21421e-05
55.5	9.21421e-05
55.6	9.21421e-05
55.7	9.21421e-05
55.8	9.21421e-05
55.9	9.21421e-05
56	9.21421e-05
56.1	9.23252e-05
56.2	9.23252e-05
56.3	9.23252e-05
56.4	9.23252e-05
56.5	9.23252e-05
56.6	9.23252e-05
56.7	9.23252e-05
56.8	9.23252e-05
56.9	9.23252e-05
57	9.23252e-05
57.1	9.25081e-05
57.2	9.25081e-05
57.3	9.25081e-05
57.4	9.25081e-05
57.5	9.25081e-05
57.6	9.25081e-05
57.7	9.25081e-05
57.8	9.25081e-05
57.9	9.25081e-05
58	9.25081e-05
58.1	9.26909e-05
58.2	9.26909e-05
58.3	9.26909e-05
58.4	9.26909e-05
58.5	9.26909e-05
58.6	9.26909e-05
58.7	9.26909e-05
58.8	9.26909e-05
58.9	9.26909e-05
59	9.26909e-05
59.1	9.28736e-05
59.2	9.28736e-05
59.3	9.28736e-05
59.4	9.28736e-05
59.5	9.28736e-05
59.6	9.28736e-05
59.7	9.28736e-05
59.8	9.28736e-05
59.9	9.28736e-05
60	9.28736e-05
60.1	9.30563e-05
60.2	9.30563e-05
60.3	9.30563e-05
60.4	9.30563e-05
60.5	9.30563e-05
60.6	9.30563e-05
60.7	9.30563e-05
60.8	9.30563e-05
60.9	9.30563e-05
61	9.30563e-05
61.1	9.32391e-05
61.2	9.32391e-05
61.3	9.32391e-05
61.4	9.32391e-05
61.5	9.32391e-05
61.6	9.32391e-05
61.7	9.32391e-05
61.8	9.32391e-05
61.9	9.32391e-05
62	9.32391e-05
62.1	9.34218e-05
62.2	9.34218e-05
62.3	9.34218e-05
62.4	9.34218e-05
62.5	9.34218e-05
62.6	9.34218e-05
62.7	9.34218e-05
62.8	9.34218e-05
62.9	9.34218e-05
63	9.34218e-05
63.1	9.36045e-05
63.2	9.36045e-05
63.3	9.36045e-05
63.4	9.36045e-05
63.5	9.36045e-05
63.6	9.36045e-05
63.7	9.36045e-05
63.8	9.36045e-05
63.9	9.36045e-05
64	9.36045e-05
64.1	9.37872e-05
64.2	9.37872e-05
64.3	9.37872e-05
64.4	9.37872e-05
64.5	9.37872e-05
64.6	9.37872e-05
64.7	9.37872e-05
64.8	9.37872e-05
64.9	9.37872e-05
65	9.37872e-05
65.1	9.397e-05
65.2	9.397e-05
65.3	9.397e-05
65.4	9.397e-05
65.5	9.397e-05
65.6	9.397e-05
65.7	9.397e-05
65.8	9.397e-05
65.9	9.397e-05
66	9.397e-05
66.1	9.41527e-05
66.2	9.41527e-05
66.3	9.41527e-05
66.4	9.41527e-05
66.5	9.41527e-05
66.6	9.41527e-05
66.7	9.41527e-05
66.8	9.41527e-05
66.9	9.41527e-05
67	9.41527e-05
67.1	9.43354e-05
67.2	9.43354e-05
67.3	9.43354e-05
67.4	9.43354e-05
67.5	9.43354e-05
67.6	9.43354e-05
67.7	9.43354e-05
67.8	9.43354e-05
67.9	9.43354e-05
68	9.43354e-05
68.1	9.45181e-05
68.2	9.45181e-05
68.3	9.45181e-05
68.4	9.45181e-05
68.5	9.45181e-05
68.6	9.45181e-05
68.7	9.45181e-05
68.8	9.45181e-05
68.9	9.45181e-05
69	9.45181e-05
69.1	9.47009e-05
69.2	9.47009e-05
69.3	9.47009e-05
69.4	9.47009e-05
69.5	9.47009e-05
69.6	9.47009e-05
69.7	9.47009e-05
69.8	9.47009e-05
69.9	9.47009e-05
70	9.47009e-05
70.1	9.48836e-05
70.2	9.48836e-05
70.3	9.48836e-05
70.4	9.48836e-05
70.5	9.48836e-05
70.6	9.48836e-05
70.7	9.48836e-05
70.8	9.48836e-05
70.9	9.48836e-05
71	9.48836e-05
71.1	9.50663e-05
71.2	9.50663e-05
71.3	9.50663e-05
71.4	9.50663e-05
71.5	9.50663e-05
71.6	9.50663e-05
71.7	9.50663e-05
71.8	9.50663e-05
71.9	9.50663e-05
72	9.50663e-05
72.1	9.5249e-05
72.2	9.5249e-05
72.3	9.5249e-05
72.4	9.5249e-05
72.5	9.5249e-05
72.6	9.5249e-05
72.7	9.5249e-05
72.8	9.5249e-05
72.9	9.5249e-05
73	9.5249e-05
73.1	9.54318e-05
73.2	9.54318e-05
73.3	9.54318e-05
73.4	9.54318e-05
73.5	9.54318e-05
73.6	9.54318e-05
73.7	9.54318e-05
73.8	9.54318e-05
73.9	9.54318e-05
74	9.54318e-05
74.1	9.56145e-05
74.2	9.56145e-05
74.3	9.56145e-05
74.4	9.56145e-05
74.5	9.56145e-05
74.6	9.56145e-05
74.7	9.56145e-05
74.8	9.56145e-05
74.9	9.56145e-05
75	9.56145e-05
75.1	9.57972e-05
75.2	9.57972e-05
75.3	9.57972e-05
75.4	9.57972e-05
75.5	9.57972e-05
75.6	9.57972e-05
75.7	9.57972e-05
75.8	9.57972e-05
75.9	9.57972e-05
76	9.57972e-05
76.1	9.598e-05
76.2	9.598e-05
76.3	9.598e-05
76.4	9.598e-05
76.5	9.598e-05
76.6	9.598e-05
76.7	9.598e-05
76.8	9.598e-05
76.9	9.598e-05
77	9.598e-05
77.1	9.61627e-05
77.2	9.61627e-05
77.3	9.61627e-05
77.4	9.61627e-05
77.5	9.61627e-05
77.6	9.61627e-05
77.7	9.61627e-05
77.8	9.61627e-05
77.9	9.61627e-05
78	9.61627e-05
78.1	9.63454e-05
78.2	9.63454e-05
78.3	9.63454e-05
78.4	9.63454e-05
78.5	9.63454e-05
78.6	9.63454e-05
78.7	9.63454e-05
78.8	9.63454e-05
78.9	9.63454e-05
79	9.63454e-05
79.1	9.65282e-05
79.2	9.65282e-05
79.3	9.65282e-05
79.4	9.65282e-05
79.5	9.65282e-05
79.6	9.65282e-05
79.7	9.65282e-05
79.8	9.65282e-05
79.9	9.65282e-05
80	9.65282e-05
80.1	9.67109e-05
80.2	9.67109e-05
80.3	9.67109e-05
80.4	9.67109e-05
80.5	9.67109e-05
80.6	9.67109e-05
80.7	9.67109e-05
80.8	9.67109e-05
80.9	9.67109e-05
81	9.67109e-05
81.1	9.68936e-05
81.2	9.68936e-05
81.3	9.68936e-05
81.4	9.68936e-05
81.5	9.68936e-05
81.6	9.68936e-05
81.7	9.68936e-05
81.8	9.68936e-05
81.9	9.68936e-05
82	9.68936e-05
82.1	9.70763e-05
82.2	9.70763e-05
82.3	9.70763e-05
82.4	9.70763e-05
82.5	9.70763e-05
82.6	9.70763e-05
82.7	9.70763e-05
82.8	9.70763e-05
82.9	9.70763e-05
83	9.70763e-05
83.1	9.72591e-05
83.2	9.72591e-05
83.3	9.72591e-05
83.4	9.72591e-05
83.5	9.72591e-05
83.6	9.72591e-05
83.7	9.72591e-05
83.8	9.72591e-05
83.9	9.72591e-05
84	9.72591e-05
84.1	9.74418e-05
84.2	9.74418e-05
84.3	9.74418e-05
84.4	9.74418e-05
84.5	9.74418e-05
84.6	9.74418e-05
84.7	9.74418e-05
84.8	9.74418e-05
84.9	9.74418e-05
85	9.74418e-05
85.1	9.76245e-05
85.2	9.76245e-05
85.3	9.76245e-05
85.4	9.76245e-05
85.5	9.76245e-05
85.6	9.76245e-05
85.7	9.76245e-05
85.8	9.76245e-05
85.9	9.76245e-05
86	9.76245e-05
86.1	9.78072e-05
86.2	9.78072e-05
86.3	9.78072e-05
86.4	9.78072e-05
86.5	9.78072e-05
86.6	9.78072e-05
86.7	9.78072e-05
86.8	9.78072e-05
86.9	9.78072e-05
87	9.78072e-05
87.1	9.799e-05
87.2	9.799e-05
87.3	9.799e-05
87.4	9.799e-05
87.5	9.799e-05
87.6	9.799e-05
87.7	9.799e-05
87.8	9.799e-05
87.9	9.799e-05
88	9.799e-05
88.1	9.81727e-05
88.2	9.81727e-05
88.3	9.81727e-05
88.4	9.81727e-05
88.5	9.81727e-05
88.6	9.81727e-05
88.7	9.81727e-05
88.8	9.81727e-05
88.9	9.81727e-05
89	9.81727e-05
89.1	9.83554e-05
89.2	9.83554e-05
89.3	9.83554e-05
89.4	9.83554e-05
89.5	9.83554e-05
89.6	9.83554e-05
89.7	9.83554e-05
89.8	9.83554e-05
89.9	9.83554e-05
90	9.83554e-05
90.1	9.85382e-05
90.2	9.85382e-05
90.3	9.85382e-05
90.4	9.85382e-05
90.5	9.85382e-05
90.6	9.85382e-05
90.7	9.85382e-05
90.8	9.85382e-05
90.9	9.85382e-05
91	9.85382e-05
91.1	9.87209e-05
91.2	9.87209e-05
91.3	9.87209e-05
91.4	9.87209e-05
91.5	9.87209e-05
91.6	9.87209e-05
91.7	9.87209e-05
91.8	9.87209e-05
91.9	9.87209e-05
92	9.87209e-05
92.1	9.89036e-05
92.2	9.89036e-05
92.3	9.89036e-05
92.4	9.89036e-05
92.5	9.89036e-05
92.6	9.89036e-05
92.7	9.89036e-05
92.8	9.89036e-05
92.9	9.89036e-05
93	9.89036e-05
93.1	9.90863e-05
93.2	9.90863e-05
93.3	9.90863e-05
93.4	9.90863e-05
93.5	9.90863e-05
93.6	9.90863e-05
93.7	9.90863e-05
93.8	9.90863e-05
93.9	9.90863e-05
94	9.90863e-05
94.1	9.92691e-05
94.2	9.92691e-05
94.3	9.92691e-05
94.4	9.92691e-05
94.5	9.92691e-05
94.6	9.92691e-05
94.7	9.92691e-05
94.8	9.92691e-05
94.9	9.92691e-05
95	9.92691e-05
95.1	9.94518e-05
95.2	9.94518e-05
95.3	9.94518e-05
95.4	9.94518e-05
95.5	9.94518e-05
95.6	9.94518e-05
95.7	9.94518e-05
95.8	9.94518e-05
95.9	9.94518e-05
96	9.94518e-05
96.1	9.96345e-05
96.2	9.96345e-05
96.3	9.96345e-05
96.4	9.96345e-05
96.5	9.96345e-05
96.6	9.96345e-05
96.7	9.96345e-05
96.8	9.96345e-05
96.9	9.96345e-05
97	9.96345e-05
97.1	9.98173e-05
97.2	9.98173e-05
97.3	9.98173e-05
97.4	9.98173e-05
97.5	9.98173e-05
97.6	9.98173e-05
97.7	9.98173e-05
97.8	9.98173e-05
97.9	9.98173e-05
98	9.98173e-05
98.1	0.0001
98.2	0.0001
98.3	0.0001
98.4	0.0001
98.5	0.0001
98.6	0.0001
98.7	0.0001
98.8	0.0001
98.9	0.0001
99	0.0001
99.1	0.0001
99.2	0.0001
99.3	0.0001
99.4	0.0001
99.5	0.0001
99.6	0.0001
99.7	0.0001
99.8	0.0001
99.9	0.0001
100	0.0001
