"arc_length","U_X"
0	0
0.1	0
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.9	0
1	0
1.1	0
1.2	0
1.3	0
1.4	0
1.5	0
1.6	0
1.7	0
1.8	0
1.9	0
2	0
2.1	1.14692e-06
2.2	1.14692e-06
2.3	1.14692e-06
2.4	1.14692e-06
2.5	1.14692e-06
2.6	1.14692e-06
2.7	1.14692e-06
2.8	1.14692e-06
2.9	1.14692e-06
3	1.14692e-06
3.1	3.44075e-06
3.2	3.44075e-06
3.3	3.44075e-06
3.4	3.44075e-06
3.5	3.44075e-06
3.6	3.44075e-06
3.7	3.44075e-06
3.8	3.44075e-06
3.9	3.44075e-06
4	3.44075e-06
4.1	5.73456e-06
4.2	5.73456e-06
4.3	5.73456e-06
4.4	5.73456e-06
4.5	5.73456e-06
4.6	5.73456e-06
4.7	5.73456e-06
4.8	5.73456e-06
4.9	5.73456e-06
5	5.73456e-06
5.1	8.02838e-06
5.2	8.02838e-06
5.3	8.02838e-06
5.4	8.02838e-06
5.5	8.02838e-06
5.6	8.02838e-06
5.7	8.02838e-06
5.8	8.02838e-06
5.9	8.02838e-06
6	8.02838e-06
6.1	1.03222e-05
6.2	1.03222e-05
6.3	1.03222e-05
6.4	1.03222e-05
6.5	1.03222e-05
6.6	1.03222e-05
6.7	1.03222e-05
6.8	1.03222e-05
6.9	1.03222e-05
7	1.03222e-05
7.1	1.2616e-05
7.2	1.2616e-05
7.3	1.2616e-05
7.4	1.2616e-05
7.5	1.2616e-05
7.6	1.2616e-05
7.7	1.2616e-05
7.8	1.2616e-05
7.9	1.2616e-05
8	1.2616e-05
8.1	1.49098e-05
8.2	1.49098e-05
8.3	1.49098e-05
8.4	1.49098e-05
8.5	1.49098e-05
8.6	1.49098e-05
8.7	1.49098e-05
8.8	1.49098e-05
8.9	1.49098e-05
9	1.49098e-05
9.1	1.72036e-05
9.2	1.72036e-05
9.3	1.72036e-05
9.4	1.72036e-05
9.5	1.72036e-05
9.6	1.72036e-05
9.7	1.72036e-05
9.8	1.72036e-05
9.9	1.72036e-05
10	1.72036e-05
10.1	1.94975e-05
10.2	1.94975e-05
10.3	1.94975e-05
10.4	1.94975e-05
10.5	1.94975e-05
10.6	1.94975e-05
10.7	1.94975e-05
10.8	1.94975e-05
10.9	1.94975e-05
11	1.94975e-05
11.1	2.17913e-05
11.2	2.17913e-05
11.3	2.17913e-05
11.4	2.17913e-05
11.5	2.17913e-05
11.6	2.17913e-05
11.7	2.17913e-05
11.8	2.17913e-05
11.9	2.17913e-05
12	2.17913e-05
12.1	2.40851e-05
12.2	2.40851e-05
12.3	2.40851e-05
12.4	2.40851e-05
12.5	2.40851e-05
12.6	2.40851e-05
12.7	2.40851e-05
12.8	2.40851e-05
12.9	2.40851e-05
13	2.40851e-05
13.1	2.63789e-05
