"arc_length"	"U_Magnitude","U_X"
382.25	6.4729e-05	6.47245e-05
382.8	6.4729e-05	6.47245e-05
383.35	6.4607e-05	6.46026e-05
383.9	6.4607e-05	6.46026e-05
384.45	6.44824e-05	6.44781e-05
385	6.44824e-05	6.44781e-05
385.55	6.43552e-05	6.43511e-05
386.1	6.42253e-05	6.42213e-05
386.65	6.42253e-05	6.42213e-05
387.2	6.40928e-05	6.4089e-05
387.75	6.40928e-05	6.4089e-05
388.3	6.39577e-05	6.3954e-05
388.85	6.39577e-05	6.3954e-05
389.4	6.38199e-05	6.38163e-05
389.95	6.38199e-05	6.38163e-05
390.5	6.36795e-05	6.3676e-05
391.05	6.35364e-05	6.3533e-05
391.6	6.35364e-05	6.3533e-05
392.15	6.33906e-05	6.33874e-05
392.7	6.33906e-05	6.33874e-05
393.25	6.32422e-05	6.3239e-05
393.8	6.32422e-05	6.3239e-05
394.35	6.30911e-05	6.3088e-05
394.9	6.30911e-05	6.3088e-05
395.45	6.29372e-05	6.29343e-05
396	6.29372e-05	6.29343e-05
396.55	6.27807e-05	6.27779e-05
397.1	6.26215e-05	6.26187e-05
397.65	6.26215e-05	6.26187e-05
398.2	6.24595e-05	6.24568e-05
398.75	6.24595e-05	6.24568e-05
399.3	6.22948e-05	6.22922e-05
399.85	6.22948e-05	6.22922e-05
400.4	6.21273e-05	6.21249e-05
400.95	6.21273e-05	6.21249e-05
401.5	6.19571e-05	6.19547e-05
402.05	6.17842e-05	6.17819e-05
402.6	6.17842e-05	6.17819e-05
403.15	6.16085e-05	6.16062e-05
403.7	6.16085e-05	6.16062e-05
404.25	6.143e-05	6.14278e-05
404.8	6.143e-05	6.14278e-05
405.35	6.12487e-05	6.12466e-05
405.9	6.12487e-05	6.12466e-05
406.45	6.10646e-05	6.10626e-05
407	6.10646e-05	6.10626e-05
407.55	6.08777e-05	6.08757e-05
408.1	6.0688e-05	6.06861e-05
408.65	6.0688e-05	6.06861e-05
409.2	6.04954e-05	6.04936e-05
409.75	6.04954e-05	6.04936e-05
410.3	6.03e-05	6.02983e-05
410.85	6.03e-05	6.02983e-05
411.4	6.01018e-05	6.01001e-05
411.95	6.01018e-05	6.01001e-05
412.5	5.99007e-05	5.9899e-05
413.05	5.96967e-05	5.96951e-05
413.6	5.96967e-05	5.96951e-05
414.15	5.94899e-05	5.94883e-05
414.7	5.94899e-05	5.94883e-05
415.25	5.92801e-05	5.92786e-05
415.8	5.92801e-05	5.92786e-05
416.35	5.90674e-05	5.9066e-05
416.9	5.90674e-05	5.9066e-05
417.45	5.88519e-05	5.88505e-05
418	5.88519e-05	5.88505e-05
418.55	5.86334e-05	5.8632e-05
419.1	5.84119e-05	5.84106e-05
419.65	5.84119e-05	5.84106e-05
420.2	5.81875e-05	5.81862e-05
420.75	5.81875e-05	5.81862e-05
421.3	5.79601e-05	5.79589e-05
421.85	5.79601e-05	5.79589e-05
422.4	5.77298e-05	5.77286e-05
422.95	5.77298e-05	5.77286e-05
423.5	5.74965e-05	5.74953e-05
424.05	5.72601e-05	5.7259e-05
424.6	5.72601e-05	5.7259e-05
425.15	5.70208e-05	5.70197e-05
425.7	5.70208e-05	5.70197e-05
426.25	5.67784e-05	5.67774e-05
426.8	5.67784e-05	5.67774e-05
427.35	5.6533e-05	5.6532e-05
427.9	5.6533e-05	5.6532e-05
428.45	5.62845e-05	5.62836e-05
429	5.62845e-05	5.62836e-05
429.55	5.6033e-05	5.60321e-05
430.1	5.57784e-05	5.57775e-05
430.65	5.57784e-05	5.57775e-05
431.2	5.55207e-05	5.55198e-05
431.75	5.55207e-05	5.55198e-05
432.3	5.52599e-05	5.52591e-05
432.85	5.52599e-05	5.52591e-05
433.4	5.4996e-05	5.49952e-05
433.95	5.4996e-05	5.49952e-05
434.5	5.47289e-05	5.47281e-05
435.05	5.44587e-05	5.4458e-05
435.6	5.44587e-05	5.4458e-05
436.15	5.41854e-05	5.41846e-05
436.7	5.41854e-05	5.41846e-05
437.25	5.39088e-05	5.39081e-05
437.8	5.39088e-05	5.39081e-05
438.35	5.36291e-05	5.36284e-05
438.9	5.36291e-05	5.36284e-05
439.45	5.33462e-05	5.33455e-05
440	5.33462e-05	5.33455e-05
440.55	5.30601e-05	5.30594e-05
441.1	5.27707e-05	5.27701e-05
441.65	5.27707e-05	5.27701e-05
442.2	5.24781e-05	5.24775e-05
442.75	5.24781e-05	5.24775e-05
443.3	5.21822e-05	5.21817e-05
443.85	5.21822e-05	5.21817e-05
444.4	5.18831e-05	5.18826e-05
444.95	5.18831e-05	5.18826e-05
445.5	5.15807e-05	5.15801e-05
446.05	5.12749e-05	5.12744e-05
446.6	5.12749e-05	5.12744e-05
447.15	5.09659e-05	5.09654e-05
447.7	5.09659e-05	5.09654e-05
448.25	5.06535e-05	5.06531e-05
448.8	5.06535e-05	5.06531e-05
449.35	5.03378e-05	5.03374e-05
449.9	5.03378e-05	5.03374e-05
450.45	5.00187e-05	5.00183e-05
451	5.00187e-05	5.00183e-05
451.55	4.96963e-05	4.96958e-05
452.1	4.93704e-05	4.937e-05
452.65	4.93704e-05	4.937e-05
453.2	4.90411e-05	4.90407e-05
453.75	4.90411e-05	4.90407e-05
454.3	4.87084e-05	4.87081e-05
454.85	4.87084e-05	4.87081e-05
455.4	4.83723e-05	4.8372e-05
455.95	4.83723e-05	4.8372e-05
456.5	4.80327e-05	4.80324e-05
457.05	4.76897e-05	4.76893e-05
457.6	4.76897e-05	4.76893e-05
458.15	4.73431e-05	4.73428e-05
458.7	4.73431e-05	4.73428e-05
459.25	4.69931e-05	4.69928e-05
459.8	4.69931e-05	4.69928e-05
460.35	4.66395e-05	4.66392e-05
460.9	4.66395e-05	4.66392e-05
461.45	4.62824e-05	4.62821e-05
462	4.62824e-05	4.62821e-05
462.55	4.59217e-05	4.59214e-05
463.1	4.55575e-05	4.55572e-05
463.65	4.55575e-05	4.55572e-05
464.2	4.51897e-05	4.51894e-05
464.75	4.51897e-05	4.51894e-05
465.3	4.48182e-05	4.4818e-05
465.85	4.48182e-05	4.4818e-05
466.4	4.44432e-05	4.44429e-05
466.95	4.44432e-05	4.44429e-05
467.5	4.40645e-05	4.40643e-05
468.05	4.36822e-05	4.36819e-05
468.6	4.36822e-05	4.36819e-05
469.15	4.32962e-05	4.3296e-05
469.7	4.32962e-05	4.3296e-05
470.25	4.29065e-05	4.29063e-05
470.8	4.29065e-05	4.29063e-05
471.35	4.25131e-05	4.25129e-05
471.9	4.25131e-05	4.25129e-05
472.45	4.21159e-05	4.21158e-05
473	4.21159e-05	4.21158e-05
473.55	4.17151e-05	4.17149e-05
474.1	4.13105e-05	4.13103e-05
474.65	4.13105e-05	4.13103e-05
475.2	4.09021e-05	4.09019e-05
475.75	4.09021e-05	4.09019e-05
476.3	4.04899e-05	4.04897e-05
476.85	4.04899e-05	4.04897e-05
477.4	4.00739e-05	4.00737e-05
477.95	4.00739e-05	4.00737e-05
478.5	3.9654e-05	3.96539e-05
479.05	3.92304e-05	3.92302e-05
479.6	3.92304e-05	3.92302e-05
480.15	3.88028e-05	3.88027e-05
480.7	3.88028e-05	3.88027e-05
481.25	3.83714e-05	3.83713e-05
481.8	3.83714e-05	3.83713e-05
482.35	3.79361e-05	3.7936e-05
482.9	3.79361e-05	3.7936e-05
483.45	3.74969e-05	3.74968e-05
484	3.74969e-05	3.74968e-05
484.55	3.70537e-05	3.70536e-05
485.1	3.66066e-05	3.66065e-05
485.65	3.66066e-05	3.66065e-05
486.2	3.61555e-05	3.61554e-05
486.75	3.61555e-05	3.61554e-05
487.3	3.57004e-05	3.57003e-05
487.85	3.57004e-05	3.57003e-05
488.4	3.52413e-05	3.52412e-05
488.95	3.52413e-05	3.52412e-05
489.5	3.47782e-05	3.47781e-05
490.05	3.4311e-05	3.43109e-05
490.6	3.4311e-05	3.43109e-05
491.15	3.38398e-05	3.38397e-05
491.7	3.38398e-05	3.38397e-05
492.25	3.33644e-05	3.33644e-05
492.8	3.33644e-05	3.33644e-05
493.35	3.2885e-05	3.2885e-05
493.9	3.2885e-05	3.2885e-05
494.45	3.24015e-05	3.24014e-05
495	3.24015e-05	3.24014e-05
495.55	3.19138e-05	3.19137e-05
496.1	3.1422e-05	3.14219e-05
496.65	3.1422e-05	3.14219e-05
497.2	3.09259e-05	3.09259e-05
497.75	3.09259e-05	3.09259e-05
498.3	3.04257e-05	3.04257e-05
498.85	3.04257e-05	3.04257e-05
499.4	2.99213e-05	2.99212e-05
499.95	2.99213e-05	2.99212e-05
500.5	2.94126e-05	2.94126e-05
501.05	2.88997e-05	2.88997e-05
501.6	2.88997e-05	2.88997e-05
502.15	2.83825e-05	2.83825e-05
502.7	2.83825e-05	2.83825e-05
503.25	2.7861e-05	2.7861e-05
503.8	2.7861e-05	2.7861e-05
504.35	2.73352e-05	2.73352e-05
504.9	2.73352e-05	2.73352e-05
505.45	2.68051e-05	2.68051e-05
506	2.68051e-05	2.68051e-05
506.55	2.62706e-05	2.62706e-05
507.1	2.57318e-05	2.57318e-05
507.65	2.57318e-05	2.57318e-05
508.2	2.51885e-05	2.51885e-05
508.75	2.51885e-05	2.51885e-05
509.3	2.46409e-05	2.46409e-05
509.85	2.46409e-05	2.46409e-05
510.4	2.40888e-05	2.40888e-05
510.95	2.40888e-05	2.40888e-05
511.5	2.35323e-05	2.35323e-05
512.05	2.29713e-05	2.29713e-05
512.6	2.29713e-05	2.29713e-05
513.15	2.24058e-05	2.24058e-05
513.7	2.24058e-05	2.24058e-05
514.25	2.18359e-05	2.18358e-05
514.8	2.18359e-05	2.18358e-05
515.35	2.12614e-05	2.12613e-05
515.9	2.12614e-05	2.12613e-05
516.45	2.06823e-05	2.06823e-05
517	2.06823e-05	2.06823e-05
517.55	2.00987e-05	2.00987e-05
518.1	1.95105e-05	1.95105e-05
518.65	1.95105e-05	1.95105e-05
519.2	1.89177e-05	1.89177e-05
519.75	1.89177e-05	1.89177e-05
520.3	1.83202e-05	1.83202e-05
520.85	1.83202e-05	1.83202e-05
521.4	1.77182e-05	1.77182e-05
521.95	1.77182e-05	1.77182e-05
522.5	1.71114e-05	1.71114e-05
523.05	1.65e-05	1.65e-05
523.6	1.65e-05	1.65e-05
524.15	1.58839e-05	1.58839e-05
524.7	1.58839e-05	1.58839e-05
525.25	1.5263e-05	1.5263e-05
525.8	1.5263e-05	1.5263e-05
526.35	1.46374e-05	1.46374e-05
526.9	1.46374e-05	1.46374e-05
527.45	1.40071e-05	1.4007e-05
528	1.40071e-05	1.4007e-05
528.55	1.33719e-05	1.33719e-05
529.1	1.2732e-05	1.2732e-05
529.65	1.2732e-05	1.2732e-05
530.2	1.20872e-05	1.20872e-05
530.75	1.20872e-05	1.20872e-05
531.3	1.14376e-05	1.14376e-05
531.85	1.14376e-05	1.14376e-05
532.4	1.07831e-05	1.07831e-05
532.95	1.07831e-05	1.07831e-05
533.5	1.01237e-05	1.01237e-05
534.05	9.45947e-06	9.45947e-06
534.6	9.45947e-06	9.45947e-06
535.15	8.79028e-06	8.79028e-06
535.7	8.79028e-06	8.79028e-06
536.25	8.11615e-06	8.11615e-06
536.8	8.11615e-06	8.11615e-06
537.35	7.43706e-06	7.43706e-06
537.9	7.43706e-06	7.43706e-06
538.45	6.75298e-06	6.75298e-06
539	6.75298e-06	6.75298e-06
539.55	6.0639e-06	6.0639e-06
540.1	5.3698e-06	5.3698e-06
540.65	5.3698e-06	5.3698e-06
541.2	4.67066e-06	4.67066e-06
541.75	4.67066e-06	4.67066e-06
542.3	3.96646e-06	3.96645e-06
542.85	3.96646e-06	3.96645e-06
543.4	3.25717e-06	3.25717e-06
543.95	3.25717e-06	3.25717e-06
544.5	2.54278e-06	2.54278e-06
545.05	1.82327e-06	1.82327e-06
545.6	1.82327e-06	1.82327e-06
546.15	1.09862e-06	1.09862e-06
546.7	1.09862e-06	1.09862e-06
547.25	3.68803e-07	3.68803e-07
547.8	3.68803e-07	3.68803e-07
548.35	0	0
548.9	0	0
549.45	0	0
550	0	0
