"arc_length"	"U_Magnitude","U_X"
84.7	7.50449e-06	-2.81911e-06
85.25	7.51043e-06	-2.47744e-06
85.8	7.51043e-06	-2.47744e-06
86.35	7.5231e-06	-2.11676e-06
86.9	7.5231e-06	-2.11676e-06
87.45	7.54383e-06	-1.73654e-06
88	7.54383e-06	-1.73654e-06
88.55	7.57448e-06	-1.33627e-06
89.1	7.61671e-06	-9.15427e-07
89.65	7.61671e-06	-9.15427e-07
90.2	7.67268e-06	-4.73511e-07
90.75	7.67268e-06	-4.73511e-07
91.3	7.74431e-06	-1.00239e-08
91.85	7.74431e-06	-1.00239e-08
92.4	7.83405e-06	4.75518e-07
92.95	7.83405e-06	4.75518e-07
93.5	7.94398e-06	9.83585e-07
94.05	8.0767e-06	1.51463e-06
94.6	8.0767e-06	1.51463e-06
95.15	8.23435e-06	2.0691e-06
95.7	8.23435e-06	2.0691e-06
96.25	8.41949e-06	2.64741e-06
96.8	8.41949e-06	2.64741e-06
97.35	8.63415e-06	3.24995e-06
97.9	8.63415e-06	3.24995e-06
98.45	8.88069e-06	3.87711e-06
99	8.88069e-06	3.87711e-06
99.55	9.16088e-06	4.52923e-06
100.1	9.4767e-06	5.20663e-06
100.65	9.4767e-06	5.20663e-06
101.2	9.82956e-06	5.90962e-06
101.75	9.82956e-06	5.90962e-06
102.3	1.0221e-05	6.63846e-06
102.85	1.0221e-05	6.63846e-06
103.4	1.0652e-05	7.39337e-06
103.95	1.0652e-05	7.39337e-06
104.5	1.11237e-05	8.17456e-06
105.05	1.16367e-05	8.9822e-06
105.6	1.16367e-05	8.9822e-06
106.15	1.21917e-05	9.81641e-06
106.7	1.21917e-05	9.81641e-06
107.25	1.2789e-05	1.06773e-05
107.8	1.2789e-05	1.06773e-05
108.35	1.3429e-05	1.15649e-05
108.9	1.3429e-05	1.15649e-05
109.45	1.41116e-05	1.24792e-05
110	1.41116e-05	1.24792e-05
110.55	1.4837e-05	1.34202e-05
111.1	1.5605e-05	1.43878e-05
111.65	1.5605e-05	1.43878e-05
112.2	1.64156e-05	1.53819e-05
112.75	1.64156e-05	1.53819e-05
113.3	1.72683e-05	1.64023e-05
113.85	1.72683e-05	1.64023e-05
114.4	1.81628e-05	1.74488e-05
114.95	1.81628e-05	1.74488e-05
115.5	1.90981e-05	1.85206e-05
116.05	2.00728e-05	1.96164e-05
116.6	2.00728e-05	1.96164e-05
117.15	2.10827e-05	2.07323e-05
117.7	2.10827e-05	2.07323e-05
118.25	2.21158e-05	2.18565e-05
118.8	2.21158e-05	2.18565e-05
119.35	2.31345e-05	2.29515e-05
119.9	2.31345e-05	2.29515e-05
120.45	2.40326e-05	2.39111e-05
121	2.40326e-05	2.39111e-05
121.55	2.46328e-05	2.45586e-05
122.1	2.48991e-05	2.48598e-05
122.65	2.48991e-05	2.48598e-05
123.2	2.49978e-05	2.4982e-05
123.75	2.49978e-05	2.4982e-05
124.3	2.50535e-05	2.50506e-05
124.85	2.50535e-05	2.50506e-05
125.4	2.51076e-05	2.51073e-05
125.95	2.51076e-05	2.51073e-05
126.5	2.51573e-05	2.51493e-05
127.05	2.5221e-05	2.51954e-05
127.6	2.5221e-05	2.51954e-05
128.15	2.52997e-05	2.52467e-05
128.7	2.52997e-05	2.52467e-05
129.25	2.53953e-05	2.53053e-05
129.8	2.53953e-05	2.53053e-05
130.35	2.55089e-05	2.53729e-05
130.9	2.55089e-05	2.53729e-05
131.45	2.56406e-05	2.545e-05
132	2.56406e-05	2.545e-05
132.55	2.57899e-05	2.55368e-05
133.1	2.59563e-05	2.56333e-05
133.65	2.59563e-05	2.56333e-05
134.2	2.61389e-05	2.57394e-05
134.75	2.61389e-05	2.57394e-05
135.3	2.63369e-05	2.58549e-05
135.85	2.63369e-05	2.58549e-05
136.4	2.65494e-05	2.59797e-05
136.95	2.65494e-05	2.59797e-05
137.5	2.67756e-05	2.61138e-05
138.05	2.70143e-05	2.62569e-05
138.6	2.70143e-05	2.62569e-05
139.15	2.72647e-05	2.6409e-05
139.7	2.72647e-05	2.6409e-05
140.25	2.75259e-05	2.65698e-05
140.8	2.75259e-05	2.65698e-05
141.35	2.7797e-05	2.67392e-05
141.9	2.7797e-05	2.67392e-05
142.45	2.80769e-05	2.6917e-05
143	2.80769e-05	2.6917e-05
143.55	2.83649e-05	2.7103e-05
144.1	2.866e-05	2.72971e-05
144.65	2.866e-05	2.72971e-05
145.2	2.89615e-05	2.7499e-05
145.75	2.89615e-05	2.7499e-05
146.3	2.92686e-05	2.77086e-05
146.85	2.92686e-05	2.77086e-05
147.4	2.95806e-05	2.79257e-05
147.95	2.95806e-05	2.79257e-05
148.5	2.98967e-05	2.81499e-05
149.05	3.02164e-05	2.83812e-05
149.6	3.02164e-05	2.83812e-05
150.15	3.05391e-05	2.86193e-05
150.7	3.05391e-05	2.86193e-05
151.25	3.08642e-05	2.88641e-05
151.8	3.08642e-05	2.88641e-05
152.35	3.11912e-05	2.91152e-05
152.9	3.11912e-05	2.91152e-05
153.45	3.15197e-05	2.93725e-05
154	3.15197e-05	2.93725e-05
154.55	3.18493e-05	2.96357e-05
155.1	3.21797e-05	2.99046e-05
155.65	3.21797e-05	2.99046e-05
156.2	3.25104e-05	3.0179e-05
156.75	3.25104e-05	3.0179e-05
