"arc_length"	"U_X","U_Magnitude"
37.4	1.85351e-05	0
37.57	1.85351e-05	0
37.74	1.85351e-05	0
37.91	1.85351e-05	0
38.08	1.98338e-05	0
38.25	1.98338e-05	0
38.42	1.98338e-05	0
38.59	1.98338e-05	0
38.76	1.98338e-05	0
38.93	1.98338e-05	0
39.1	2.05989e-05	0
39.27	2.05989e-05	0
39.44	2.05989e-05	0
39.61	2.05989e-05	0
39.78	2.05989e-05	0
39.95	2.05989e-05	0
40.12	2.10211e-05	0
40.29	2.10211e-05	0
40.46	2.10211e-05	0
40.63	2.10211e-05	0
40.8	2.10211e-05	0
40.97	2.10211e-05	0
41.14	2.12929e-05	1.07335e-06
41.31	2.12929e-05	1.07335e-06
41.48	2.12929e-05	1.07335e-06
41.65	2.12929e-05	1.07335e-06
41.82	2.12929e-05	1.07335e-06
41.99	2.12929e-05	1.07335e-06
42.16	2.1483e-05	3.17909e-06
42.33	2.1483e-05	3.17909e-06
42.5	2.1483e-05	3.17909e-06
42.67	2.1483e-05	3.17909e-06
42.84	2.1483e-05	3.17909e-06
43.01	2.1665e-05	5.23568e-06
43.18	2.1665e-05	5.23568e-06
43.35	2.1665e-05	5.23568e-06
43.52	2.1665e-05	5.23568e-06
43.69	2.1665e-05	5.23568e-06
43.86	2.1665e-05	5.23568e-06
44.03	2.18621e-05	7.2432e-06
44.2	2.18621e-05	7.2432e-06
44.37	2.18621e-05	7.2432e-06
44.54	2.18621e-05	7.2432e-06
44.71	2.18621e-05	7.2432e-06
44.88	2.18621e-05	7.2432e-06
45.05	2.20844e-05	9.2017e-06
45.22	2.20844e-05	9.2017e-06
45.39	2.20844e-05	9.2017e-06
45.56	2.20844e-05	9.2017e-06
45.73	2.20844e-05	9.2017e-06
45.9	2.20844e-05	9.2017e-06
46.07	2.23362e-05	1.11111e-05
46.24	2.23362e-05	1.11111e-05
46.41	2.23362e-05	1.11111e-05
46.58	2.23362e-05	1.11111e-05
46.75	2.23362e-05	1.11111e-05
46.92	2.23362e-05	1.11111e-05
47.09	2.26181e-05	1.29716e-05
47.26	2.26181e-05	1.29716e-05
47.43	2.26181e-05	1.29716e-05
47.6	2.26181e-05	1.29716e-05
47.77	2.26181e-05	1.29716e-05
47.94	2.26181e-05	1.29716e-05
48.11	2.29289e-05	1.4783e-05
48.28	2.29289e-05	1.4783e-05
48.45	2.29289e-05	1.4783e-05
48.62	2.29289e-05	1.4783e-05
48.79	2.29289e-05	1.4783e-05
48.96	2.29289e-05	1.4783e-05
49.13	2.32665e-05	1.65454e-05
49.3	2.32665e-05	1.65454e-05
49.47	2.32665e-05	1.65454e-05
49.64	2.32665e-05	1.65454e-05
49.81	2.32665e-05	1.65454e-05
49.98	2.32665e-05	1.65454e-05
50.15	2.36286e-05	1.82589e-05
50.32	2.36286e-05	1.82589e-05
50.49	2.36286e-05	1.82589e-05
50.66	2.36286e-05	1.82589e-05
50.83	2.36286e-05	1.82589e-05
51	2.36286e-05	1.82589e-05
