"arc_length"	"U_Magnitude"
12.7	3.65113e-05
12.8	3.65113e-05
12.9	3.65113e-05
13	3.65113e-05
13.1	3.90829e-05
13.2	3.90829e-05
13.3	3.90829e-05
13.4	3.90829e-05
13.5	3.90829e-05
13.6	3.90829e-05
13.7	3.90829e-05
13.8	3.90829e-05
13.9	3.90829e-05
14	3.90829e-05
14.1	4.1614e-05
14.2	4.1614e-05
14.3	4.1614e-05
14.4	4.1614e-05
14.5	4.1614e-05
14.6	4.1614e-05
14.7	4.1614e-05
14.8	4.1614e-05
14.9	4.1614e-05
15	4.1614e-05
15.1	4.41047e-05
15.2	4.41047e-05
15.3	4.41047e-05
15.4	4.41047e-05
15.5	4.41047e-05
15.6	4.41047e-05
15.7	4.41047e-05
15.8	4.41047e-05
15.9	4.41047e-05
16	4.41047e-05
16.1	4.6555e-05
16.2	4.6555e-05
16.3	4.6555e-05
16.4	4.6555e-05
16.5	4.6555e-05
16.6	4.6555e-05
16.7	4.6555e-05
16.8	4.6555e-05
16.9	4.6555e-05
17	4.6555e-05
17.1	4.8965e-05
17.2	4.8965e-05
17.3	4.8965e-05
17.4	4.8965e-05
17.5	4.8965e-05
17.6	4.8965e-05
17.7	4.8965e-05
17.8	4.8965e-05
17.9	4.8965e-05
18	4.8965e-05
18.1	5.13345e-05
18.2	5.13345e-05
18.3	5.13345e-05
18.4	5.13345e-05
18.5	5.13345e-05
18.6	5.13345e-05
18.7	5.13345e-05
18.8	5.13345e-05
18.9	5.13345e-05
19	5.13345e-05
19.1	5.36636e-05
19.2	5.36636e-05
19.3	5.36636e-05
19.4	5.36636e-05
19.5	5.36636e-05
19.6	5.36636e-05
19.7	5.36636e-05
19.8	5.36636e-05
19.9	5.36636e-05
20	5.36636e-05
20.1	5.59524e-05
20.2	5.59524e-05
20.3	5.59524e-05
20.4	5.59524e-05
20.5	5.59524e-05
20.6	5.59524e-05
20.7	5.59524e-05
20.8	5.59524e-05
20.9	5.59524e-05
21	5.59524e-05
21.1	5.82007e-05
21.2	5.82007e-05
21.3	5.82007e-05
21.4	5.82007e-05
21.5	5.82007e-05
21.6	5.82007e-05
21.7	5.82007e-05
21.8	5.82007e-05
21.9	5.82007e-05
22	5.82007e-05
22.1	6.04086e-05
22.2	6.04086e-05
22.3	6.04086e-05
22.4	6.04086e-05
22.5	6.04086e-05
22.6	6.04086e-05
22.7	6.04086e-05
22.8	6.04086e-05
22.9	6.04086e-05
23	6.04086e-05
23.1	6.25762e-05
23.2	6.25762e-05
23.3	6.25762e-05
23.4	6.25762e-05
23.5	6.25762e-05
23.6	6.25762e-05
23.7	6.25762e-05
23.8	6.25762e-05
23.9	6.25762e-05
24	6.25762e-05
24.1	6.47033e-05
24.2	6.47033e-05
24.3	6.47033e-05
24.4	6.47033e-05
24.5	6.47033e-05
24.6	6.47033e-05
24.7	6.47033e-05
24.8	6.47033e-05
24.9	6.47033e-05
25	6.47033e-05
25.1	6.679e-05
25.2	6.679e-05
25.3	6.679e-05
25.4	6.679e-05
25.5	6.679e-05
25.6	6.679e-05
25.7	6.679e-05
25.8	6.679e-05
25.9	6.679e-05
26	6.679e-05
26.1	6.88363e-05
26.2	6.88363e-05
26.3	6.88363e-05
26.4	6.88363e-05
26.5	6.88363e-05
26.6	6.88363e-05
26.7	6.88363e-05
26.8	6.88363e-05
26.9	6.88363e-05
27	6.88363e-05
27.1	7.08423e-05
27.2	7.08423e-05
27.3	7.08423e-05
27.4	7.08423e-05
27.5	7.08423e-05
27.6	7.08423e-05
27.7	7.08423e-05
27.8	7.08423e-05
27.9	7.08423e-05
28	7.08423e-05
28.1	7.28078e-05
28.2	7.28078e-05
28.3	7.28078e-05
28.4	7.28078e-05
28.5	7.28078e-05
28.6	7.28078e-05
28.7	7.28078e-05
28.8	7.28078e-05
28.9	7.28078e-05
29	7.28078e-05
29.1	7.47329e-05
29.2	7.47329e-05
29.3	7.47329e-05
29.4	7.47329e-05
29.5	7.47329e-05
29.6	7.47329e-05
29.7	7.47329e-05
29.8	7.47329e-05
29.9	7.47329e-05
30	7.47329e-05
30.1	7.66177e-05
30.2	7.66177e-05
30.3	7.66177e-05
30.4	7.66177e-05
30.5	7.66177e-05
30.6	7.66177e-05
30.7	7.66177e-05
30.8	7.66177e-05
30.9	7.66177e-05
31	7.66177e-05
31.1	7.8462e-05
31.2	7.8462e-05
31.3	7.8462e-05
31.4	7.8462e-05
31.5	7.8462e-05
31.6	7.8462e-05
31.7	7.8462e-05
31.8	7.8462e-05
31.9	7.8462e-05
32	7.8462e-05
32.1	8.02659e-05
32.2	8.02659e-05
32.3	8.02659e-05
32.4	8.02659e-05
32.5	8.02659e-05
32.6	8.02659e-05
32.7	8.02659e-05
32.8	8.02659e-05
32.9	8.02659e-05
33	8.02659e-05
33.1	8.20294e-05
33.2	8.20294e-05
33.3	8.20294e-05
33.4	8.20294e-05
33.5	8.20294e-05
33.6	8.20294e-05
33.7	8.20294e-05
33.8	8.20294e-05
33.9	8.20294e-05
34	8.20294e-05
34.1	8.37526e-05
34.2	8.37526e-05
34.3	8.37526e-05
34.4	8.37526e-05
34.5	8.37526e-05
34.6	8.37526e-05
34.7	8.37526e-05
34.8	8.37526e-05
34.9	8.37526e-05
35	8.37526e-05
35.1	8.54353e-05
35.2	8.54353e-05
35.3	8.54353e-05
35.4	8.54353e-05
35.5	8.54353e-05
35.6	8.54353e-05
35.7	8.54353e-05
35.8	8.54353e-05
35.9	8.54353e-05
36	8.54353e-05
36.1	8.70777e-05
36.2	8.70777e-05
36.3	8.70777e-05
36.4	8.70777e-05
36.5	8.70777e-05
36.6	8.70777e-05
36.7	8.70777e-05
36.8	8.70777e-05
36.9	8.70777e-05
37	8.70777e-05
37.1	8.86796e-05
37.2	8.86796e-05
37.3	8.86796e-05
37.4	8.86796e-05
37.5	8.86796e-05
37.6	8.86796e-05
37.7	8.86796e-05
37.8	8.86796e-05
37.9	8.86796e-05
38	8.86796e-05
38.1	9.02412e-05
38.2	9.02412e-05
38.3	9.02412e-05
38.4	9.02412e-05
38.5	9.02412e-05
38.6	9.02412e-05
38.7	9.02412e-05
38.8	9.02412e-05
38.9	9.02412e-05
39	9.02412e-05
39.1	9.17625e-05
39.2	9.17625e-05
39.3	9.17625e-05
39.4	9.17625e-05
39.5	9.17625e-05
39.6	9.17625e-05
39.7	9.17625e-05
39.8	9.17625e-05
39.9	9.17625e-05
40	9.17625e-05
40.1	9.32436e-05
40.2	9.32436e-05
40.3	9.32436e-05
40.4	9.32436e-05
40.5	9.32436e-05
40.6	9.32436e-05
40.7	9.32436e-05
40.8	9.32436e-05
40.9	9.32436e-05
41	9.32436e-05
41.1	9.46849e-05
41.2	9.46849e-05
41.3	9.46849e-05
41.4	9.46849e-05
41.5	9.46849e-05
41.6	9.46849e-05
41.7	9.46849e-05
41.8	9.46849e-05
41.9	9.46849e-05
42	9.46849e-05
42.1	9.60869e-05
