"flag","ADDITIONALS","BODY","BOUNDARY","COLLISION","DESIGNSPACE","SETTINGZONE","NONE","Rho","PhaseField","U:0","U:1","U:2","NormalizedPressure","Pressure","Normal:0","Normal:1","Normal:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
256,0,0,0,2,0,0,0,1,7.3037461826e-07,1.54198425644e-09,1.20366337141e-10,0,-4.01949347403e-07,-1.33983115801e-07,0,0,0,1,6.65600013733,6.65600013733,128,0.5
256,0,0,0,2,0,0,0,1,7.3037461826e-07,1.54198425644e-09,1.20366337141e-10,0,-4.01949347403e-07,-1.33983115801e-07,0,0,0,1,6.91200017929,6.91200017929,128,0.5
256,0,0,0,2,0,0,0,1,7.30375514364e-07,1.78351642632e-09,1.21234270519e-10,0,-4.0194995767e-07,-1.33983319223e-07,0,0,0,1,7.16800022125,7.16800022125,128,0.5
256,0,0,0,2,0,0,0,1,7.30375514364e-07,1.78351642632e-09,1.21234270519e-10,0,-4.0194995767e-07,-1.33983319223e-07,0,0,0,1,7.42399978638,7.42399978638,128,0.5
256,0,0,0,2,0,0,0,1,7.30375514364e-07,1.78351642632e-09,1.21234270519e-10,0,-4.0194995767e-07,-1.33983319223e-07,0,0,0,1,7.67999982834,7.67999982834,128,0.5
256,0,0,0,2,0,0,0,1,7.30375514364e-07,1.78351642632e-09,1.21234270519e-10,0,-4.0194995767e-07,-1.33983319223e-07,0,0,0,1,7.9359998703,7.9359998703,128,0.5
256,0,0,0,2,0,0,0,1,7.30376544775e-07,2.02691277392e-09,1.22232276417e-10,0,-4.01950659436e-07,-1.33983553145e-07,0,0,0,1,8.1920003891,8.1920003891,128,0.5
256,0,0,0,2,0,0,0,1,7.30376544775e-07,2.02691277392e-09,1.22232276417e-10,0,-4.01950659436e-07,-1.33983553145e-07,0,0,0,1,8.44799995422,8.44799995422,128,0.5
256,0,0,0,2,0,0,0,1,7.30376544775e-07,2.02691277392e-09,1.22232276417e-10,0,-4.01950659436e-07,-1.33983553145e-07,0,0,0,1,8.70400047302,8.70400047302,128,0.5
256,0,0,0,2,0,0,0,1,7.30376544775e-07,2.02691277392e-09,1.22232276417e-10,0,-4.01950659436e-07,-1.33983553145e-07,0,0,0,1,8.96000003815,8.96000003815,128,0.5
256,0,0,0,2,0,0,0,1,7.3037771207e-07,2.27243672637e-09,1.2336275899e-10,0,-4.01951454615e-07,-1.33983818205e-07,0,0,0,1,9.21599960327,9.21599960327,128,0.5
256,0,0,0,2,0,0,0,1,7.3037771207e-07,2.27243672637e-09,1.2336275899e-10,0,-4.01951454615e-07,-1.33983818205e-07,0,0,0,1,9.47200012207,9.47200012207,128,0.5
256,0,0,0,2,0,0,0,1,7.3037771207e-07,2.27243672637e-09,1.2336275899e-10,0,-4.01951454615e-07,-1.33983818205e-07,0,0,0,1,9.72799968719,9.72799968719,128,0.5
256,0,0,0,2,0,0,0,1,7.3037771207e-07,2.27243672637e-09,1.2336275899e-10,0,-4.01951454615e-07,-1.33983818205e-07,0,0,0,1,9.98400020599,9.98400020599,128,0.5
256,0,0,0,2,0,0,0,1,7.30379019181e-07,2.52035475028e-09,1.24628502888e-10,0,-4.01952345262e-07,-1.33984115087e-07,0,0,0,1,10.2399997711,10.2399997711,128,0.5
256,0,0,0,2,0,0,0,1,7.30379019181e-07,2.52035475028e-09,1.24628502888e-10,0,-4.01952345262e-07,-1.33984115087e-07,0,0,0,1,10.4960002899,10.4960002899,128,0.5
256,0,0,0,2,0,0,0,1,7.30379019181e-07,2.52035475028e-09,1.24628502888e-10,0,-4.01952345262e-07,-1.33984115087e-07,0,0,0,1,10.751999855,10.751999855,128,0.5
256,0,0,0,2,0,0,0,1,7.30380469411e-07,2.77094130549e-09,1.26032683558e-10,0,-4.01953333671e-07,-1.33984444557e-07,0,0,0,1,11.0080003738,11.0080003738,128,0.5
