"flag","ADDITIONALS","BODY","BOUNDARY","COLLISION","DESIGNSPACE","SETTINGZONE","NONE","Rho","PhaseField","U:0","U:1","U:2","NormalizedPressure","Pressure","Normal:0","Normal:1","Normal:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
384,0,0,0,3,0,0,0,1,7.3037461613e-07,1.54156326644e-09,1.20333312669e-10,0,-4.01951022996e-07,-1.33983674332e-07,0,0,0,1,6.65600013733,6.65600013733,128,0.5
384,0,0,0,3,0,0,0,1,7.3037461613e-07,1.54156326644e-09,1.20333312669e-10,0,-4.01951022996e-07,-1.33983674332e-07,0,0,0,1,6.91200017929,6.91200017929,128,0.5
384,0,0,0,3,0,0,0,1,7.30375512268e-07,1.7830294507e-09,1.2120103218e-10,0,-4.01951633064e-07,-1.33983877688e-07,0,0,0,1,7.16800022125,7.16800022125,128,0.5
384,0,0,0,3,0,0,0,1,7.30375512268e-07,1.7830294507e-09,1.2120103218e-10,0,-4.01951633064e-07,-1.33983877688e-07,0,0,0,1,7.42399978638,7.42399978638,128,0.5
384,0,0,0,3,0,0,0,1,7.30375512268e-07,1.7830294507e-09,1.2120103218e-10,0,-4.01951633064e-07,-1.33983877688e-07,0,0,0,1,7.67999982834,7.67999982834,128,0.5
384,0,0,0,3,0,0,0,1,7.30375512268e-07,1.7830294507e-09,1.2120103218e-10,0,-4.01951633064e-07,-1.33983877688e-07,0,0,0,1,7.9359998703,7.9359998703,128,0.5
384,0,0,0,3,0,0,0,1,7.3037654272e-07,2.02635929834e-09,1.2219873703e-10,0,-4.01952334692e-07,-1.33984111564e-07,0,0,0,1,8.1920003891,8.1920003891,128,0.5
384,0,0,0,3,0,0,0,1,7.3037654272e-07,2.02635929834e-09,1.2219873703e-10,0,-4.01952334692e-07,-1.33984111564e-07,0,0,0,1,8.44799995422,8.44799995422,128,0.5
384,0,0,0,3,0,0,0,1,7.3037654272e-07,2.02635929834e-09,1.2219873703e-10,0,-4.01952334692e-07,-1.33984111564e-07,0,0,0,1,8.70400047302,8.70400047302,128,0.5
384,0,0,0,3,0,0,0,1,7.3037654272e-07,2.02635929834e-09,1.2219873703e-10,0,-4.01952334692e-07,-1.33984111564e-07,0,0,0,1,8.96000003815,8.96000003815,128,0.5
384,0,0,0,3,0,0,0,1,7.3037771006e-07,2.27181611878e-09,1.23328885108e-10,0,-4.01953129685e-07,-1.33984376562e-07,0,0,0,1,9.21599960327,9.21599960327,128,0.5
384,0,0,0,3,0,0,0,1,7.3037771006e-07,2.27181611878e-09,1.23328885108e-10,0,-4.01953129685e-07,-1.33984376562e-07,0,0,0,1,9.47200012207,9.47200012207,128,0.5
384,0,0,0,3,0,0,0,1,7.3037771006e-07,2.27181611878e-09,1.23328885108e-10,0,-4.01953129685e-07,-1.33984376562e-07,0,0,0,1,9.72799968719,9.72799968719,128,0.5
384,0,0,0,3,0,0,0,1,7.3037771006e-07,2.27181611878e-09,1.23328885108e-10,0,-4.01953129685e-07,-1.33984376562e-07,0,0,0,1,9.98400020599,9.98400020599,128,0.5
384,0,0,0,3,0,0,0,1,7.30379017221e-07,2.5196663486e-09,1.24594271832e-10,0,-4.01954020095e-07,-1.33984673365e-07,0,0,0,1,10.2399997711,10.2399997711,128,0.5
