"arc_length"	"U_Magnitude_cm_He"
63.9	0.164315
64	0.164315
64.1	0.176938
64.2	0.176938
64.3	0.176938
64.4	0.176938
64.5	0.176938
64.6	0.176938
64.7	0.176938
64.8	0.176938
64.9	0.176938
65	0.176938
65.1	0.188566
65.2	0.188566
65.3	0.188566
65.4	0.188566
65.5	0.188566
65.6	0.188566
65.7	0.188566
65.8	0.188566
65.9	0.188566
66	0.188566
66.1	0.199194
66.2	0.199194
66.3	0.199194
66.4	0.199194
66.5	0.199194
66.6	0.199194
66.7	0.199194
66.8	0.199194
66.9	0.199194
67	0.199194
67.1	0.208823
67.2	0.208823
67.3	0.208823
67.4	0.208823
67.5	0.208823
67.6	0.208823
67.7	0.208823
67.8	0.208823
67.9	0.208823
68	0.208823
68.1	0.217452
68.2	0.217452
68.3	0.217452
68.4	0.217452
68.5	0.217452
68.6	0.217452
68.7	0.217452
68.8	0.217452
68.9	0.217452
69	0.217452
69.1	0.225081
69.2	0.225081
69.3	0.225081
69.4	0.225081
69.5	0.225081
69.6	0.225081
69.7	0.225081
69.8	0.225081
69.9	0.225081
70	0.225081
70.1	0.231713
70.2	0.231713
70.3	0.231713
70.4	0.231713
70.5	0.231713
70.6	0.231713
70.7	0.231713
70.8	0.231713
70.9	0.231713
71	0.231713
71.1	0.237346
71.2	0.237346
71.3	0.237346
71.4	0.237346
71.5	0.237346
71.6	0.237346
71.7	0.237346
71.8	0.237346
71.9	0.237346
72	0.237346
72.1	0.241982
72.2	0.241982
72.3	0.241982
72.4	0.241982
72.5	0.241982
72.6	0.241982
72.7	0.241982
72.8	0.241982
72.9	0.241982
73	0.241982
73.1	0.245621
73.2	0.245621
73.3	0.245621
73.4	0.245621
73.5	0.245621
73.6	0.245621
73.7	0.245621
73.8	0.245621
73.9	0.245621
74	0.245621
74.1	0.248264
74.2	0.248264
74.3	0.248264
74.4	0.248264
74.5	0.248264
74.6	0.248264
74.7	0.248264
74.8	0.248264
74.9	0.248264
75	0.248264
75.1	0.24991
75.2	0.24991
75.3	0.24991
75.4	0.24991
75.5	0.24991
75.6	0.24991
75.7	0.24991
75.8	0.24991
75.9	0.24991
76	0.24991
76.1	0.250559
76.2	0.250559
76.3	0.250559
76.4	0.250559
76.5	0.250559
76.6	0.250559
76.7	0.250559
76.8	0.250559
76.9	0.250559
77	0.250559
77.1	0.250213
77.2	0.250213
77.3	0.250213
77.4	0.250213
77.5	0.250213
77.6	0.250213
77.7	0.250213
77.8	0.250213
77.9	0.250213
78	0.250213
78.1	0.24887
78.2	0.24887
78.3	0.24887
78.4	0.24887
78.5	0.24887
78.6	0.24887
78.7	0.24887
78.8	0.24887
78.9	0.24887
79	0.24887
79.1	0.246531
79.2	0.246531
79.3	0.246531
79.4	0.246531
79.5	0.246531
79.6	0.246531
79.7	0.246531
79.8	0.246531
79.9	0.246531
80	0.246531
80.1	0.243196
80.2	0.243196
80.3	0.243196
80.4	0.243196
80.5	0.243196
80.6	0.243196
80.7	0.243196
80.8	0.243196
80.9	0.243196
81	0.243196
81.1	0.238863
81.2	0.238863
81.3	0.238863
81.4	0.238863
81.5	0.238863
81.6	0.238863
81.7	0.238863
81.8	0.238863
81.9	0.238863
82	0.238863
82.1	0.233534
82.2	0.233534
82.3	0.233534
82.4	0.233534
82.5	0.233534
82.6	0.233534
82.7	0.233534
82.8	0.233534
82.9	0.233534
83	0.233534
83.1	0.227206
83.2	0.227206
83.3	0.227206
83.4	0.227206
83.5	0.227206
83.6	0.227206
83.7	0.227206
83.8	0.227206
83.9	0.227206
84	0.227206
84.1	0.219881
84.2	0.219881
84.3	0.219881
84.4	0.219881
84.5	0.219881
84.6	0.219881
84.7	0.219881
84.8	0.219881
84.9	0.219881
85	0.219881
85.1	0.211556
85.2	0.211556
85.3	0.211556
85.4	0.211556
85.5	0.211556
85.6	0.211556
85.7	0.211556
85.8	0.211556
85.9	0.211556
86	0.211556
86.1	0.202232
86.2	0.202232
86.3	0.202232
86.4	0.202232
86.5	0.202232
86.6	0.202232
86.7	0.202232
86.8	0.202232
86.9	0.202232
87	0.202232
87.1	0.191907
87.2	0.191907
87.3	0.191907
87.4	0.191907
87.5	0.191907
87.6	0.191907
87.7	0.191907
87.8	0.191907
87.9	0.191907
88	0.191907
88.1	0.18058
88.2	0.18058
88.3	0.18058
88.4	0.18058
88.5	0.18058
88.6	0.18058
88.7	0.18058
88.8	0.18058
88.9	0.18058
89	0.18058
89.1	0.168252
89.2	0.168252
89.3	0.168252
89.4	0.168252
89.5	0.168252
89.6	0.168252
89.7	0.168252
89.8	0.168252
89.9	0.168252
90	0.168252
90.1	0.154919
90.2	0.154919
90.3	0.154919
90.4	0.154919
90.5	0.154919
90.6	0.154919
90.7	0.154919
90.8	0.154919
90.9	0.154919
91	0.154919
91.1	0.140582
91.2	0.140582
91.3	0.140582
91.4	0.140582
91.5	0.140582
91.6	0.140582
91.7	0.140582
91.8	0.140582
91.9	0.140582
92	0.140582
92.1	0.125239
92.2	0.125239
92.3	0.125239
92.4	0.125239
92.5	0.125239
92.6	0.125239
92.7	0.125239
92.8	0.125239
92.9	0.125239
93	0.125239
93.1	0.108888
93.2	0.108888
93.3	0.108888
93.4	0.108888
93.5	0.108888
93.6	0.108888
93.7	0.108888
93.8	0.108888
93.9	0.108888
94	0.108888
94.1	0.0915285
94.2	0.0915285
94.3	0.0915285
94.4	0.0915285
94.5	0.0915285
94.6	0.0915285
94.7	0.0915285
94.8	0.0915285
94.9	0.0915285
95	0.0915285
95.1	0.0731582
95.2	0.0731582
95.3	0.0731582
95.4	0.0731582
95.5	0.0731582
95.6	0.0731582
95.7	0.0731582
95.8	0.0731582
95.9	0.0731582
96	0.0731582
96.1	0.0537756
96.2	0.0537756
96.3	0.0537756
96.4	0.0537756
96.5	0.0537756
96.6	0.0537756
96.7	0.0537756
96.8	0.0537756
96.9	0.0537756
97	0.0537756
97.1	0.0333791
97.2	0.0333791
97.3	0.0333791
97.4	0.0333791
97.5	0.0333791
97.6	0.0333791
97.7	0.0333791
97.8	0.0333791
97.9	0.0333791
98	0.0333791
98.1	0.0119666
98.2	0.0119666
98.3	0.0119666
98.4	0.0119666
98.5	0.0119666
98.6	0.0119666
98.7	0.0119666
98.8	0.0119666
98.9	0.0119666
99	0.0119666
99.1	0
99.2	0
99.3	0
99.4	0
99.5	0
99.6	0
99.7	0
99.8	0
99.9	0
100	0
