"arc_length"	"U_Magnitude_cm_Guo"
32.8	0.0202272
32.9	0.0202272
33	0.0202272
33.1	0.0206548
33.2	0.0206548
33.3	0.0206548
33.4	0.0206548
33.5	0.0206548
33.6	0.0206548
33.7	0.0206548
33.8	0.0206548
33.9	0.0206548
34	0.0206548
34.1	0.021072
34.2	0.021072
34.3	0.021072
34.4	0.021072
34.5	0.021072
34.6	0.021072
34.7	0.021072
34.8	0.021072
34.9	0.021072
35	0.021072
35.1	0.0214788
35.2	0.0214788
35.3	0.0214788
35.4	0.0214788
35.5	0.0214788
35.6	0.0214788
35.7	0.0214788
35.8	0.0214788
35.9	0.0214788
36	0.0214788
36.1	0.0218754
36.2	0.0218754
36.3	0.0218754
36.4	0.0218754
36.5	0.0218754
36.6	0.0218754
36.7	0.0218754
36.8	0.0218754
36.9	0.0218754
37	0.0218754
37.1	0.0222616
37.2	0.0222616
37.3	0.0222616
37.4	0.0222616
37.5	0.0222616
37.6	0.0222616
37.7	0.0222616
37.8	0.0222616
37.9	0.0222616
38	0.0222616
38.1	0.0226377
38.2	0.0226377
38.3	0.0226377
38.4	0.0226377
38.5	0.0226377
38.6	0.0226377
38.7	0.0226377
38.8	0.0226377
38.9	0.0226377
39	0.0226377
39.1	0.0230036
39.2	0.0230036
39.3	0.0230036
39.4	0.0230036
39.5	0.0230036
39.6	0.0230036
39.7	0.0230036
39.8	0.0230036
39.9	0.0230036
40	0.0230036
40.1	0.0233595
40.2	0.0233595
40.3	0.0233595
40.4	0.0233595
40.5	0.0233595
40.6	0.0233595
40.7	0.0233595
40.8	0.0233595
40.9	0.0233595
41	0.0233595
41.1	0.0237054
41.2	0.0237054
41.3	0.0237054
41.4	0.0237054
41.5	0.0237054
41.6	0.0237054
41.7	0.0237054
41.8	0.0237054
41.9	0.0237054
42	0.0237054
42.1	0.0240415
42.2	0.0240415
42.3	0.0240415
42.4	0.0240415
42.5	0.0240415
42.6	0.0240415
42.7	0.0240415
42.8	0.0240415
42.9	0.0240415
43	0.0240415
43.1	0.0243682
43.2	0.0243682
43.3	0.0243682
43.4	0.0243682
43.5	0.0243682
43.6	0.0243682
43.7	0.0243682
43.8	0.0243682
43.9	0.0243682
44	0.0243682
44.1	0.0246865
44.2	0.0246865
44.3	0.0246865
44.4	0.0246865
44.5	0.0246865
44.6	0.0246865
44.7	0.0246865
44.8	0.0246865
44.9	0.0246865
45	0.0246865
45.1	0.024998
45.2	0.024998
45.3	0.024998
45.4	0.024998
45.5	0.024998
45.6	0.024998
45.7	0.024998
45.8	0.024998
45.9	0.024998
46	0.024998
46.1	0.0253068
46.2	0.0253068
46.3	0.0253068
46.4	0.0253068
46.5	0.0253068
46.6	0.0253068
46.7	0.0253068
46.8	0.0253068
46.9	0.0253068
47	0.0253068
47.1	0.0256217
47.2	0.0256217
47.3	0.0256217
47.4	0.0256217
47.5	0.0256217
47.6	0.0256217
47.7	0.0256217
47.8	0.0256217
47.9	0.0256217
48	0.0256217
48.1	0.0259609
48.2	0.0259609
48.3	0.0259609
48.4	0.0259609
48.5	0.0259609
48.6	0.0259609
48.7	0.0259609
48.8	0.0259609
48.9	0.0259609
49	0.0259609
49.1	0.0263614
49.2	0.0263614
49.3	0.0263614
49.4	0.0263614
49.5	0.0263614
49.6	0.0263614
49.7	0.0263614
49.8	0.0263614
49.9	0.0263614
50	0.0263614
50.1	0.0268975
50.2	0.0268975
50.3	0.0268975
50.4	0.0268975
50.5	0.0268975
50.6	0.0268975
50.7	0.0268975
50.8	0.0268975
50.9	0.0268975
51	0.0268975
51.1	0.0277251
51.2	0.0277251
51.3	0.0277251
51.4	0.0277251
51.5	0.0277251
51.6	0.0277251
51.7	0.0277251
51.8	0.0277251
51.9	0.0277251
52	0.0277251
52.1	0.029166
52.2	0.029166
52.3	0.029166
52.4	0.029166
52.5	0.029166
52.6	0.029166
52.7	0.029166
52.8	0.029166
52.9	0.029166
53	0.029166
53.1	0.0318363
53.2	0.0318363
53.3	0.0318363
53.4	0.0318363
53.5	0.0318363
53.6	0.0318363
53.7	0.0318363
53.8	0.0318363
53.9	0.0318363
54	0.0318363
54.1	0.0367209
54.2	0.0367209
54.3	0.0367209
54.4	0.0367209
54.5	0.0367209
54.6	0.0367209
54.7	0.0367209
54.8	0.0367209
54.9	0.0367209
55	0.0367209
55.1	0.044893
55.2	0.044893
55.3	0.044893
55.4	0.044893
55.5	0.044893
55.6	0.044893
55.7	0.044893
55.8	0.044893
55.9	0.044893
56	0.044893
56.1	0.0567514
56.2	0.0567514
56.3	0.0567514
