"arc_length"	"U_Magnitude"
0	0
0.256	0
0.512	0
0.768	0
1.024	4.92096e-10
1.28	4.92096e-10
1.536	4.92096e-10
1.792	4.92096e-10
2.048	2.65724e-09
2.304	2.65724e-09
2.56	2.65724e-09
2.816	2.65724e-09
3.072	7.23545e-09
3.328	7.23545e-09
3.584	7.23545e-09
3.84	7.23545e-09
4.096	1.33941e-08
4.352	1.33941e-08
4.608	1.33941e-08
4.864	1.33941e-08
5.12	1.85133e-08
5.376	1.85133e-08
5.632	1.85133e-08
5.888	1.85133e-08
6.144	1.92179e-08
6.4	1.92179e-08
6.656	1.92179e-08
6.912	1.92179e-08
7.168	1.34666e-08
7.424	1.34666e-08
7.68	1.34666e-08
7.936	1.34666e-08
8.192	9.98092e-09
8.448	9.98092e-09
8.704	9.98092e-09
8.96	9.98092e-09
9.216	2.56817e-08
9.472	2.56817e-08
9.728	2.56817e-08
9.984	2.56817e-08
10.24	4.34236e-08
10.496	4.34236e-08
10.752	4.34236e-08
11.008	5.38655e-08
11.264	5.38655e-08
11.52	5.38655e-08
11.776	5.38655e-08
12.032	5.17062e-08
12.288	5.17062e-08
12.544	5.17062e-08
12.8	5.17062e-08
13.056	3.62725e-08
13.312	3.62725e-08
13.568	3.62725e-08
13.824	3.62725e-08
14.08	1.75927e-08
14.336	1.75927e-08
14.592	1.75927e-08
14.848	1.75927e-08
15.104	3.41843e-08
15.36	3.41843e-08
15.616	3.41843e-08
15.872	3.41843e-08
16.128	6.19042e-08
16.384	6.19042e-08
16.64	6.19042e-08
16.896	6.19042e-08
17.152	8.10439e-08
17.408	8.10439e-08
17.664	8.10439e-08
17.92	8.10439e-08
18.176	8.66774e-08
18.432	8.66774e-08
18.688	8.66774e-08
18.944	8.66774e-08
19.2	7.86127e-08
19.456	7.86127e-08
19.712	7.86127e-08
19.968	7.86127e-08
20.224	6.06148e-08
20.48	6.06148e-08
20.736	6.06148e-08
20.992	6.06148e-08
21.248	3.87188e-08
21.504	3.87188e-08
21.76	3.87188e-08
22.016	1.99724e-08
22.272	1.99724e-08
22.528	1.99724e-08
22.784	1.99724e-08
23.04	1.14839e-08
23.296	1.14839e-08
23.552	1.14839e-08
23.808	1.14839e-08
24.064	2.11461e-08
24.32	2.11461e-08
24.576	2.11461e-08
24.832	2.11461e-08
25.088	4.20198e-08
25.344	4.20198e-08
25.6	4.20198e-08
25.856	4.20198e-08
26.112	6.59e-08
26.368	6.59e-08
26.624	6.59e-08
26.88	6.59e-08
27.136	8.64838e-08
27.392	8.64838e-08
27.648	8.64838e-08
27.904	8.64838e-08
28.16	9.9441e-08
28.416	9.9441e-08
28.672	9.9441e-08
28.928	9.9441e-08
29.184	9.68098e-08
29.44	9.68098e-08
29.696	9.68098e-08
29.952	9.68098e-08
30.208	7.29289e-08
30.464	7.29289e-08
30.72	7.29289e-08
30.976	7.29289e-08
