"arc_length"	"U_Magnitude"
0	0
0.256	0
0.512	0
0.768	0
1.024	1.72616e-10
1.28	1.72616e-10
1.536	1.72616e-10
1.792	1.72616e-10
2.048	1.28427e-09
2.304	1.28427e-09
2.56	1.28427e-09
2.816	1.28427e-09
3.072	5.58365e-09
3.328	5.58365e-09
3.584	5.58365e-09
3.84	5.58365e-09
4.096	1.45637e-08
4.352	1.45637e-08
4.608	1.45637e-08
4.864	1.45637e-08
5.12	2.78723e-08
5.376	2.78723e-08
5.632	2.78723e-08
5.888	2.78723e-08
6.144	4.15879e-08
6.4	4.15879e-08
6.656	4.15879e-08
6.912	4.15879e-08
7.168	4.93863e-08
7.424	4.93863e-08
7.68	4.93863e-08
7.936	4.93863e-08
8.192	4.53401e-08
8.448	4.53401e-08
8.704	4.53401e-08
8.96	4.53401e-08
9.216	2.8299e-08
9.472	2.8299e-08
9.728	2.8299e-08
9.984	2.8299e-08
10.24	2.18727e-08
10.496	2.18727e-08
10.752	2.18727e-08
11.008	5.23592e-08
11.264	5.23592e-08
11.52	5.23592e-08
11.776	5.23592e-08
12.032	8.2837e-08
12.288	8.2837e-08
12.544	8.2837e-08
12.8	8.2837e-08
13.056	9.91303e-08
13.312	9.91303e-08
13.568	9.91303e-08
13.824	9.91303e-08
14.08	9.56593e-08
14.336	9.56593e-08
14.592	9.56593e-08
14.848	9.56593e-08
15.104	7.40457e-08
15.36	7.40457e-08
15.616	7.40457e-08
15.872	7.40457e-08
16.128	4.19398e-08
16.384	4.19398e-08
16.64	4.19398e-08
16.896	4.19398e-08
17.152	1.66362e-08
17.408	1.66362e-08
17.664	1.66362e-08
17.92	1.66362e-08
18.176	2.58317e-08
18.432	2.58317e-08
18.688	2.58317e-08
18.944	2.58317e-08
19.2	3.2224e-08
19.456	3.2224e-08
19.712	3.2224e-08
19.968	3.2224e-08
20.224	2.29139e-08
20.48	2.29139e-08
20.736	2.29139e-08
20.992	2.29139e-08
21.248	2.15253e-08
21.504	2.15253e-08
21.76	2.15253e-08
22.016	5.39628e-08
22.272	5.39628e-08
22.528	5.39628e-08
22.784	5.39628e-08
23.04	8.82027e-08
23.296	8.82027e-08
23.552	8.82027e-08
23.808	8.82027e-08
24.064	1.08873e-07
24.32	1.08873e-07
24.576	1.08873e-07
24.832	1.08873e-07
25.088	1.08994e-07
25.344	1.08994e-07
25.6	1.08994e-07
25.856	1.08994e-07
26.112	8.91407e-08
26.368	8.91407e-08
26.624	8.91407e-08
26.88	8.91407e-08
27.136	5.74087e-08
27.392	5.74087e-08
27.648	5.74087e-08
27.904	5.74087e-08
28.16	2.52617e-08
28.416	2.52617e-08
28.672	2.52617e-08
28.928	2.52617e-08
29.184	4.69874e-09
29.44	4.69874e-09
29.696	4.69874e-09
29.952	4.69874e-09
30.208	2.94834e-08
30.464	2.94834e-08
30.72	2.94834e-08
30.976	2.94834e-08
