"arc_length"	"U_Magnitude_Guo"
32.9	0.00585406
33	0.00585406
33.1	0.00597977
33.2	0.00597977
33.3	0.00597977
33.4	0.00597977
33.5	0.00597977
33.6	0.00597977
33.7	0.00597977
33.8	0.00597977
33.9	0.00597977
34	0.00597977
34.1	0.00610241
34.2	0.00610241
34.3	0.00610241
34.4	0.00610241
34.5	0.00610241
34.6	0.00610241
34.7	0.00610241
34.8	0.00610241
34.9	0.00610241
35	0.00610241
35.1	0.00622197
35.2	0.00622197
35.3	0.00622197
35.4	0.00622197
35.5	0.00622197
35.6	0.00622197
35.7	0.00622197
35.8	0.00622197
35.9	0.00622197
36	0.00622197
36.1	0.00633846
36.2	0.00633846
36.3	0.00633846
36.4	0.00633846
36.5	0.00633846
36.6	0.00633846
36.7	0.00633846
36.8	0.00633846
36.9	0.00633846
37	0.00633846
37.1	0.00645187
37.2	0.00645187
37.3	0.00645187
37.4	0.00645187
37.5	0.00645187
37.6	0.00645187
37.7	0.00645187
37.8	0.00645187
37.9	0.00645187
38	0.00645187
38.1	0.00656221
38.2	0.00656221
38.3	0.00656221
38.4	0.00656221
38.5	0.00656221
38.6	0.00656221
38.7	0.00656221
38.8	0.00656221
38.9	0.00656221
39	0.00656221
39.1	0.00666949
39.2	0.00666949
39.3	0.00666949
39.4	0.00666949
39.5	0.00666949
39.6	0.00666949
39.7	0.00666949
39.8	0.00666949
39.9	0.00666949
40	0.00666949
40.1	0.0067737
40.2	0.0067737
40.3	0.0067737
40.4	0.0067737
40.5	0.0067737
40.6	0.0067737
40.7	0.0067737
40.8	0.0067737
40.9	0.0067737
41	0.0067737
41.1	0.00687485
41.2	0.00687485
41.3	0.00687485
41.4	0.00687485
41.5	0.00687485
41.6	0.00687485
41.7	0.00687485
41.8	0.00687485
41.9	0.00687485
42	0.00687485
42.1	0.00697294
42.2	0.00697294
42.3	0.00697294
42.4	0.00697294
42.5	0.00697294
42.6	0.00697294
42.7	0.00697294
42.8	0.00697294
42.9	0.00697294
43	0.00697294
43.1	0.00706798
43.2	0.00706798
43.3	0.00706798
43.4	0.00706798
43.5	0.00706798
43.6	0.00706798
43.7	0.00706798
43.8	0.00706798
43.9	0.00706798
44	0.00706798
44.1	0.00715998
44.2	0.00715998
44.3	0.00715998
44.4	0.00715998
44.5	0.00715998
44.6	0.00715998
44.7	0.00715998
44.8	0.00715998
44.9	0.00715998
45	0.00715998
45.1	0.00724892
45.2	0.00724892
45.3	0.00724892
45.4	0.00724892
45.5	0.00724892
45.6	0.00724892
45.7	0.00724892
45.8	0.00724892
45.9	0.00724892
46	0.00724892
46.1	0.00733483
46.2	0.00733483
46.3	0.00733483
46.4	0.00733483
46.5	0.00733483
46.6	0.00733483
46.7	0.00733483
46.8	0.00733483
46.9	0.00733483
47	0.00733483
47.1	0.00741772
47.2	0.00741772
47.3	0.00741772
47.4	0.00741772
47.5	0.00741772
47.6	0.00741772
47.7	0.00741772
47.8	0.00741772
47.9	0.00741772
48	0.00741772
48.1	0.0074977
48.2	0.0074977
48.3	0.0074977
48.4	0.0074977
48.5	0.0074977
48.6	0.0074977
48.7	0.0074977
48.8	0.0074977
48.9	0.0074977
49	0.0074977
49.1	0.00757474
49.2	0.00757474
49.3	0.00757474
49.4	0.00757474
49.5	0.00757474
