"arc_length"	"U_Magnitude_eq25"
68.352	1.52207e-06
68.608	1.52207e-06
68.864	1.52207e-06
69.12	1.86388e-06
69.376	1.86388e-06
69.632	1.86388e-06
69.888	1.86388e-06
70.144	2.1308e-06
70.4	2.1308e-06
70.656	2.1308e-06
70.912	2.1308e-06
71.168	2.21516e-06
71.424	2.21516e-06
71.68	2.21516e-06
71.936	2.21516e-06
72.192	2.02077e-06
72.448	2.02077e-06
72.704	2.02077e-06
72.96	2.02077e-06
73.216	1.509e-06
73.472	1.509e-06
73.728	1.509e-06
73.984	1.509e-06
74.24	7.82738e-07
74.496	7.82738e-07
74.752	7.82738e-07
75.008	6.06566e-07
75.264	6.06566e-07
75.52	6.06566e-07
75.776	6.06566e-07
76.032	1.19465e-06
76.288	1.19465e-06
76.544	1.19465e-06
76.8	1.19465e-06
77.056	1.34048e-06
77.312	1.34048e-06
77.568	1.34048e-06
77.824	1.34048e-06
78.08	8.90565e-07
78.336	8.90565e-07
78.592	8.90565e-07
78.848	8.90565e-07
79.104	2.3902e-06
79.36	2.3902e-06
79.616	2.3902e-06
79.872	2.3902e-06
80.128	5.8673e-06
80.384	5.8673e-06
80.64	5.8673e-06
80.896	5.8673e-06
81.152	1.00377e-05
81.408	1.00377e-05
81.664	1.00377e-05
81.92	1.00377e-05
82.176	1.35017e-05
82.432	1.35017e-05
82.688	1.35017e-05
82.944	1.35017e-05
83.2	1.43559e-05
83.456	1.43559e-05
83.712	1.43559e-05
83.968	1.43559e-05
84.224	1.09765e-05
84.48	1.09765e-05
84.736	1.09765e-05
84.992	1.09765e-05
85.248	6.06513e-06
85.504	6.06513e-06
85.76	6.06513e-06
86.016	1.27302e-05
86.272	1.27302e-05
86.528	1.27302e-05
86.784	1.27302e-05
87.04	2.0996e-05
87.296	2.0996e-05
87.552	2.0996e-05
87.808	2.0996e-05
88.064	2.32003e-05
88.32	2.32003e-05
88.576	2.32003e-05
88.832	2.32003e-05
89.088	1.83552e-05
