"arc_length"	"U_MagnitudeMRT"
68.352	2.08011e-08
68.608	2.08011e-08
68.864	2.08011e-08
69.12	2.17757e-08
69.376	2.17757e-08
69.632	2.17757e-08
69.888	2.17757e-08
70.144	2.28008e-08
70.4	2.28008e-08
70.656	2.28008e-08
70.912	2.28008e-08
71.168	2.38793e-08
71.424	2.38793e-08
71.68	2.38793e-08
71.936	2.38793e-08
72.192	2.50143e-08
72.448	2.50143e-08
72.704	2.50143e-08
72.96	2.50143e-08
73.216	2.62086e-08
73.472	2.62086e-08
73.728	2.62086e-08
73.984	2.62086e-08
74.24	2.74654e-08
74.496	2.74654e-08
74.752	2.74654e-08
75.008	2.87877e-08
75.264	2.87877e-08
75.52	2.87877e-08
75.776	2.87877e-08
76.032	3.01785e-08
76.288	3.01785e-08
76.544	3.01785e-08
76.8	3.01785e-08
77.056	3.16405e-08
77.312	3.16405e-08
77.568	3.16405e-08
77.824	3.16405e-08
78.08	3.31764e-08
78.336	3.31764e-08
78.592	3.31764e-08
78.848	3.31764e-08
79.104	3.47881e-08
79.36	3.47881e-08
79.616	3.47881e-08
79.872	3.47881e-08
80.128	3.64772e-08
80.384	3.64772e-08
80.64	3.64772e-08
80.896	3.64772e-08
81.152	3.82442e-08
81.408	3.82442e-08
81.664	3.82442e-08
81.92	3.82442e-08
82.176	4.00887e-08
82.432	4.00887e-08
82.688	4.00887e-08
82.944	4.00887e-08
83.2	4.20083e-08
83.456	4.20083e-08
83.712	4.20083e-08
83.968	4.20083e-08
84.224	4.39985e-08
84.48	4.39985e-08
84.736	4.39985e-08
84.992	4.39985e-08
85.248	4.60519e-08
85.504	4.60519e-08
85.76	4.60519e-08
86.016	4.81571e-08
86.272	4.81571e-08
86.528	4.81571e-08
86.784	4.81571e-08
87.04	5.02969e-08
87.296	5.02969e-08
87.552	5.02969e-08
87.808	5.02969e-08
88.064	5.24472e-08
88.32	5.24472e-08
88.576	5.24472e-08
88.832	5.24472e-08
89.088	5.45733e-08
89.344	5.45733e-08
89.6	5.45733e-08
89.856	5.45733e-08
90.112	5.66266e-08
90.368	5.66266e-08
90.624	5.66266e-08
90.88	5.66266e-08
91.136	5.85401e-08
91.392	5.85401e-08
91.648	5.85401e-08
91.904	5.85401e-08
92.16	6.02248e-08
92.416	6.02248e-08
92.672	6.02248e-08
92.928	6.02248e-08
93.184	6.15631e-08
93.44	6.15631e-08
93.696	6.15631e-08
93.952	6.15631e-08
94.208	6.23493e-08
94.464	6.23493e-08
94.72	6.23493e-08
94.976	6.23493e-08
95.232	6.21165e-08
95.488	6.21165e-08
95.744	6.21165e-08
96	6.21165e-08
96.256	5.99904e-08
96.512	5.99904e-08
96.768	5.99904e-08
97.024	5.6148e-08
97.28	5.6148e-08
97.536	5.6148e-08
97.792	5.6148e-08
98.048	5.50079e-08
98.304	5.50079e-08
98.56	5.50079e-08
98.816	5.50079e-08
99.072	5.83934e-08
99.328	5.83934e-08
99.584	5.83934e-08
99.84	5.83934e-08
100.096	6.0494e-08
100.352	6.0494e-08
100.608	6.0494e-08
100.864	6.0494e-08
101.12	5.88259e-08
101.376	5.88259e-08
101.632	5.88259e-08
101.888	5.88259e-08
102.144	5.72897e-08
102.4	5.72897e-08
102.656	5.72897e-08
102.912	5.72897e-08
103.168	5.53306e-08
103.424	5.53306e-08
103.68	5.53306e-08
103.936	5.53306e-08
104.192	5.23614e-08
104.448	5.23614e-08
104.704	5.23614e-08
104.96	5.23614e-08
105.216	4.88863e-08
105.472	4.88863e-08
105.728	4.88863e-08
105.984	4.88863e-08
106.24	4.51166e-08
106.496	4.51166e-08
106.752	4.51166e-08
107.008	4.11558e-08
107.264	4.11558e-08
107.52	4.11558e-08
107.776	4.11558e-08
108.032	3.71016e-08
108.288	3.71016e-08
108.544	3.71016e-08
108.8	3.71016e-08
109.056	3.3045e-08
109.312	3.3045e-08
109.568	3.3045e-08
109.824	3.3045e-08
110.08	2.90653e-08
110.336	2.90653e-08
110.592	2.90653e-08
110.848	2.90653e-08
111.104	2.52294e-08
111.36	2.52294e-08
111.616	2.52294e-08
111.872	2.52294e-08
112.128	2.15926e-08
112.384	2.15926e-08
112.64	2.15926e-08
112.896	2.15926e-08
113.152	1.81987e-08
113.408	1.81987e-08
113.664	1.81987e-08
113.92	1.81987e-08
114.176	1.50811e-08
114.432	1.50811e-08
114.688	1.50811e-08
114.944	1.50811e-08
115.2	1.22636e-08
115.456	1.22636e-08
115.712	1.22636e-08
115.968	1.22636e-08
116.224	9.76047e-09
116.48	9.76047e-09
116.736	9.76047e-09
116.992	9.76047e-09
117.248	7.57786e-09
117.504	7.57786e-09
117.76	7.57786e-09
118.016	5.71395e-09
118.272	5.71395e-09
118.528	5.71395e-09
118.784	5.71395e-09
119.04	4.15986e-09
119.296	4.15986e-09
119.552	4.15986e-09
119.808	4.15986e-09
120.064	2.90026e-09
120.32	2.90026e-09
120.576	2.90026e-09
120.832	2.90026e-09
121.088	1.91406e-09
121.344	1.91406e-09
121.6	1.91406e-09
121.856	1.91406e-09
122.112	1.1751e-09
122.368	1.1751e-09
122.624	1.1751e-09
122.88	1.1751e-09
123.136	6.52795e-10
123.392	6.52795e-10
123.648	6.52795e-10
123.904	6.52795e-10
124.16	3.12845e-10
124.416	3.12845e-10
124.672	3.12845e-10
124.928	3.12845e-10
125.184	1.17891e-10
125.44	1.17891e-10
125.696	1.17891e-10
125.952	1.17891e-10
126.208	2.82219e-11
126.464	2.82219e-11
126.72	2.82219e-11
126.976	2.82219e-11
127.232	2.52751e-12
127.488	2.52751e-12
127.744	2.52751e-12
128	2.52751e-12
128.256	2.52754e-12
128.512	2.52754e-12
128.768	2.52754e-12
129.024	2.82219e-11
129.28	2.82219e-11
129.536	2.82219e-11
129.792	2.82219e-11
130.048	1.17891e-10
130.304	1.17891e-10
130.56	1.17891e-10
130.816	1.17891e-10
131.072	3.12845e-10
131.328	3.12845e-10
131.584	3.12845e-10
131.84	3.12845e-10
132.096	6.52795e-10
132.352	6.52795e-10
132.608	6.52795e-10
132.864	6.52795e-10
133.12	1.1751e-09
133.376	1.1751e-09
133.632	1.1751e-09
133.888	1.1751e-09
134.144	1.91406e-09
134.4	1.91406e-09
134.656	1.91406e-09
134.912	1.91406e-09
135.168	2.90026e-09
135.424	2.90026e-09
135.68	2.90026e-09
135.936	2.90026e-09
136.192	4.15986e-09
136.448	4.15986e-09
136.704	4.15986e-09
136.96	4.15986e-09
137.216	5.71395e-09
137.472	5.71395e-09
137.728	5.71395e-09
137.984	5.71395e-09
138.24	7.57786e-09
138.496	7.57786e-09
138.752	7.57786e-09
139.008	9.76047e-09
139.264	9.76047e-09
139.52	9.76047e-09
139.776	9.76047e-09
140.032	1.22636e-08
140.288	1.22636e-08
140.544	1.22636e-08
140.8	1.22636e-08
141.056	1.50811e-08
141.312	1.50811e-08
141.568	1.50811e-08
141.824	1.50811e-08
142.08	1.81987e-08
142.336	1.81987e-08
142.592	1.81987e-08
142.848	1.81987e-08
143.104	2.15926e-08
143.36	2.15926e-08
143.616	2.15926e-08
143.872	2.15926e-08
144.128	2.52294e-08
144.384	2.52294e-08
144.64	2.52294e-08
144.896	2.52294e-08
145.152	2.90653e-08
145.408	2.90653e-08
145.664	2.90653e-08
145.92	2.90653e-08
146.176	3.3045e-08
146.432	3.3045e-08
146.688	3.3045e-08
146.944	3.3045e-08
147.2	3.71016e-08
147.456	3.71016e-08
147.712	3.71016e-08
147.968	3.71016e-08
148.224	4.11558e-08
148.48	4.11558e-08
148.736	4.11558e-08
148.992	4.11558e-08
149.248	4.51166e-08
149.504	4.51166e-08
149.76	4.51166e-08
150.016	4.88863e-08
150.272	4.88863e-08
150.528	4.88863e-08
150.784	4.88863e-08
151.04	5.23614e-08
151.296	5.23614e-08
151.552	5.23614e-08
151.808	5.23614e-08
152.064	5.53306e-08
152.32	5.53306e-08
152.576	5.53306e-08
152.832	5.53306e-08
153.088	5.72897e-08
153.344	5.72897e-08
153.6	5.72897e-08
