"arc_length"	"U_Magnitude_mrt"
32.9	0.00584519
33	0.00584519
33.1	0.00597112
33.2	0.00597112
33.3	0.00597112
33.4	0.00597112
33.5	0.00597112
33.6	0.00597112
33.7	0.00597112
33.8	0.00597112
33.9	0.00597112
34	0.00597112
34.1	0.00609398
34.2	0.00609398
34.3	0.00609398
34.4	0.00609398
34.5	0.00609398
34.6	0.00609398
34.7	0.00609398
34.8	0.00609398
34.9	0.00609398
35	0.00609398
35.1	0.00621377
35.2	0.00621377
35.3	0.00621377
35.4	0.00621377
35.5	0.00621377
35.6	0.00621377
35.7	0.00621377
35.8	0.00621377
35.9	0.00621377
36	0.00621377
36.1	0.0063305
36.2	0.0063305
36.3	0.0063305
36.4	0.0063305
36.5	0.0063305
36.6	0.0063305
36.7	0.0063305
36.8	0.0063305
36.9	0.0063305
37	0.0063305
37.1	0.00644415
37.2	0.00644415
37.3	0.00644415
37.4	0.00644415
37.5	0.00644415
37.6	0.00644415
37.7	0.00644415
37.8	0.00644415
37.9	0.00644415
38	0.00644415
38.1	0.00655473
38.2	0.00655473
38.3	0.00655473
38.4	0.00655473
38.5	0.00655473
38.6	0.00655473
38.7	0.00655473
38.8	0.00655473
38.9	0.00655473
39	0.00655473
39.1	0.00666224
39.2	0.00666224
39.3	0.00666224
39.4	0.00666224
39.5	0.00666224
39.6	0.00666224
39.7	0.00666224
39.8	0.00666224
39.9	0.00666224
40	0.00666224
40.1	0.00676667
40.2	0.00676667
40.3	0.00676667
40.4	0.00676667
40.5	0.00676667
40.6	0.00676667
40.7	0.00676667
40.8	0.00676667
40.9	0.00676667
41	0.00676667
41.1	0.00686804
41.2	0.00686804
41.3	0.00686804
41.4	0.00686804
41.5	0.00686804
41.6	0.00686804
41.7	0.00686804
41.8	0.00686804
41.9	0.00686804
42	0.00686804
42.1	0.00696634
42.2	0.00696634
42.3	0.00696634
42.4	0.00696634
42.5	0.00696634
42.6	0.00696634
42.7	0.00696634
42.8	0.00696634
42.9	0.00696634
43	0.00696634
43.1	0.00706157
43.2	0.00706157
43.3	0.00706157
43.4	0.00706157
43.5	0.00706157
43.6	0.00706157
43.7	0.00706157
43.8	0.00706157
43.9	0.00706157
44	0.00706157
44.1	0.00715373
44.2	0.00715373
44.3	0.00715373
44.4	0.00715373
44.5	0.00715373
44.6	0.00715373
44.7	0.00715373
44.8	0.00715373
44.9	0.00715373
45	0.00715373
45.1	0.00724281
45.2	0.00724281
45.3	0.00724281
45.4	0.00724281
45.5	0.00724281
45.6	0.00724281
45.7	0.00724281
45.8	0.00724281
45.9	0.00724281
46	0.00724281
46.1	0.00732883
46.2	0.00732883
46.3	0.00732883
46.4	0.00732883
46.5	0.00732883
46.6	0.00732883
46.7	0.00732883
46.8	0.00732883
46.9	0.00732883
47	0.00732883
47.1	0.00741178
47.2	0.00741178
47.3	0.00741178
47.4	0.00741178
47.5	0.00741178
47.6	0.00741178
47.7	0.00741178
47.8	0.00741178
47.9	0.00741178
48	0.00741178
48.1	0.00749165
48.2	0.00749165
48.3	0.00749165
48.4	0.00749165
48.5	0.00749165
48.6	0.00749165
48.7	0.00749165
48.8	0.00749165
48.9	0.00749165
49	0.00749165
49.1	0.00756846
49.2	0.00756846
49.3	0.00756846
49.4	0.00756846
49.5	0.00756846
49.6	0.00756846
49.7	0.00756846
49.8	0.00756846
49.9	0.00756846
50	0.00756846
50.1	0.0112161
50.2	0.0112161
50.3	0.0112161
50.4	0.0112161
50.5	0.0112161
50.6	0.0112161
50.7	0.0112161
50.8	0.0112161
50.9	0.0112161
51	0.0112161
51.1	0.0182826
51.2	0.0182826
51.3	0.0182826
51.4	0.0182826
51.5	0.0182826
51.6	0.0182826
51.7	0.0182826
51.8	0.0182826
51.9	0.0182826
52	0.0182826
52.1	0.025042
52.2	0.025042
52.3	0.025042
52.4	0.025042
52.5	0.025042
52.6	0.025042
52.7	0.025042
52.8	0.025042
52.9	0.025042
53	0.025042
53.1	0.0314944
53.2	0.0314944
53.3	0.0314944
53.4	0.0314944
53.5	0.0314944
53.6	0.0314944
53.7	0.0314944
53.8	0.0314944
53.9	0.0314944
54	0.0314944
54.1	0.0376398
54.2	0.0376398
54.3	0.0376398
54.4	0.0376398
54.5	0.0376398
54.6	0.0376398
54.7	0.0376398
54.8	0.0376398
54.9	0.0376398
55	0.0376398
55.1	0.0434781
55.2	0.0434781
55.3	0.0434781
55.4	0.0434781
55.5	0.0434781
55.6	0.0434781
55.7	0.0434781
55.8	0.0434781
55.9	0.0434781
56	0.0434781
56.1	0.0490094
56.2	0.0490094
56.3	0.0490094
56.4	0.0490094
56.5	0.0490094
56.6	0.0490094
56.7	0.0490094
56.8	0.0490094
56.9	0.0490094
57	0.0490094
57.1	0.0542336
57.2	0.0542336
57.3	0.0542336
57.4	0.0542336
57.5	0.0542336
57.6	0.0542336
57.7	0.0542336
57.8	0.0542336
57.9	0.0542336
58	0.0542336
58.1	0.0591508
58.2	0.0591508
58.3	0.0591508
58.4	0.0591508
58.5	0.0591508
58.6	0.0591508
58.7	0.0591508
58.8	0.0591508
58.9	0.0591508
59	0.0591508
59.1	0.063761
59.2	0.063761
59.3	0.063761
59.4	0.063761
59.5	0.063761
59.6	0.063761
59.7	0.063761
59.8	0.063761
59.9	0.063761
60	0.063761
60.1	0.0680641
60.2	0.0680641
60.3	0.0680641
60.4	0.0680641
60.5	0.0680641
60.6	0.0680641
60.7	0.0680641
60.8	0.0680641
